id,pubyear,titles,author,affiliated,wos_total,journal,issns,eissns
WOS:000072048400043,1998,Human vascular endothelial cells are a rich and regulatable source of secretory sphingomyelinase - Implication for early atherogenesis and ceramide-mediated cell signaling,"Beatini, N|Yellin, MJ|Schissel, SL|Marathe, S|Tabas, I|Williams, KJ|Mintzer, R",Thomas Jefferson Univ|Berlex Biosci|Columbia Univ|Columbia Univ,164,JOURNAL OF BIOLOGICAL CHEMISTRY,0021-9258,1083-351X
WOS:000073241200055,1998,Dynamic activation of endothelial nitric oxide synthase by Hsp90,"Shah, V|Papapetropoulos, A|Sessa, WC|Cirino, G|Sorrentino, R|Fan, R|Garcia-Cardena, G",Univ Naples Federico II|Yale Univ|Yale Univ|Yale Univ,739,NATURE,0028-0836,1476-4687
WOS:000075071500005,1998,Characterization of rat lung ICAM-1,"Schimmer, RC|Beck-Schimmer, B|Schmal, H|Flory, CM|Friedl, HP|Pasch, T|Ward, PA",Warner Lambert Parke Davis|Univ Zurich|Univ Zurich|Univ Michigan,11,INFLAMMATION RESEARCH,1023-3830,1420-908X
WOS:000075268900030,1998,Dermal microvascular injury in the human peripheral blood lymphocyte reconstituted severe combined immunodeficient (HuPBL-SCID) mouse/skin allograft model is T cell mediated and inhibited by a combination of cyclosporine and rapamycin,"Murray, AG|Pober, JS|Askenase, PW|Lorber, MI|Hughes, CCW|McNiff, JM|Sultan, P|Epperson, DE|Schechner, JS",Yale Univ|Yale Univ|Yale Univ|Yale Univ|Yale Univ|Yale Univ|Univ Alberta|Yale Univ,45,AMERICAN JOURNAL OF PATHOLOGY,0002-9440,1525-2191
WOS:000078904900032,1999,Inhibition of copper/zinc superoxide dismutase impairs NO center dot-mediated endothelium-dependent relaxations,"Katusic, ZS|Wambi-Kiesse, CO",Mayo Clin & Mayo Fdn|Mayo Clin & Mayo Fdn,37,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000079616600014,1999,Mechanisms of enhanced lung injury during sepsis,"Bless, NM|Ward, PA|Friedl, HP|Czermak, BJ|Breckwoldt, M|Ravage, ZB|Huber-Lang, M|Schmal, H",Univ Freiburg|Univ Michigan|Univ Michigan,83,AMERICAN JOURNAL OF PATHOLOGY,0002-9440,1525-2191
WOS:000080919500021,1999,Lipoxin and aspirin-triggered 15-epi-lipoxin cellular interactions anti-inflammatory lipid mediators,"Clish, CB|Takano, T|Serhan, CN|Chiang, N|Gronert, K",Harvard Univ|Brigham & Womens Hosp,27,CLINICAL CHEMISTRY AND LABORATORY MEDICINE,1434-6621,1437-4331
WOS:000081438300021,1999,Shear stress-mediated extracellular signal-regulated kinase activation is regulated by sodium in endothelial cells - Potential role for a voltage-dependent sodium channel,"Tupper, JC|Traub, O|Ishida, T|Ishida, M|Berk, BC",Univ Rochester|Univ Washington,46,JOURNAL OF BIOLOGICAL CHEMISTRY,0021-9258,1083-351X
WOS:000085257500041,2000,Quantification of eNOS mRNA in the canine cardiac vasculature by competitive PCR,"Hintze, TH|Catravas, JD|Zhang, XP|Papapetropoulos, A|Fulton, D|Sessa, WC",Med Coll Georgia|Med Coll Georgia|New York Med Coll|Yale Univ,11,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000088023900025,2000,"Chlamydia, inflammation, and atherogenesis","Campbell, LA|Lin, TM|Blessing, E|Rosenfeld, ME|Kuo, CC|Moazed, TC",Univ Washington|Univ Washington,29,JOURNAL OF INFECTIOUS DISEASES,0022-1899,1537-6613
WOS:000088594500008,2000,Angiotensin-(1-7) causes endothelium-dependent relaxation in canine middle cerebral artery,"Smith, L|Katusic, ZS|Feterik, K",Mayo Clin|Mayo Clin|Mayo Clin,45,BRAIN RESEARCH,0006-8993,1872-6240
WOS:000088749400010,2000,Regulation of ciliary beat frequency by the nitric oxide-cyclic guanosine monophosphate signaling pathway in rat airway epithelial cells,"Li, DC|Johns, RA|Zhan, XH|Shirakami, G",Johns Hopkins Univ,71,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,1044-1549,1535-4989
WOS:000089467300005,2000,eNOS-deficient mice show reduced pulmonary vascular proliferation and remodeling to chronic hypoxia,"Laubach, VE|Li, DC|Johns, RA|Zhou, N|Shesely, EG|Quinlan, TR",Henry Ford Hosp|Univ Virginia|Univ Virginia,69,AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,1040-0605,1522-1504
WOS:000089634400028,2000,"VEGF-C and VEGF-D expression in neuroendocrine cells and their receptor, VEGFR-3, in fenestrated blood vessels in human tissues","Stacker, SA|Partanen, TA|Arola, J|Saaristo, A|Jussila, L|Ora, A|Miettinen, M|Achen, MG|Alitalo, K",Royal Melbourne Hosp|Armed Forces Inst Pathol|Univ Helsinki|Univ Helsinki,230,FASEB JOURNAL,0892-6638,1530-6860
