Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
176,"KC Koskinas, CL Feldman, YS Chatzizisis, AU Coskun, M Jonas, ...","CLINICAL PERSPECTIVE",2010,"Circulation","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14705202591212171184",1,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:d1gkVwhDpl0C",121,19,2092,2101,176,19.56,29,6,9
144,"AB Baker, JE Sanders","Structures having coated indentations",2003,"US Patent 6","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4305502456999528760",2,"2019-05-15","Patent","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:u5HHmVD_uO8C",558,,422,422,144,9.00,72,2,16
123,"YS Chatzizisis, AB Baker, GK Sukhova, KC Koskinas, MI Papafaklis, ...","Augmented expression and activity of extracellular matrix-degrading enzymes in regions of low endothelial shear stress colocalize with coronary atheromata with thin fibrous …",2011,"Circulation","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7439797178911078304",3,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:eQOLeE2rZwMC",123,6,621,630,123,15.38,21,6,8
115,"JW Franses, AB Baker, VC Chitalia, ER Edelman","Stromal endothelial cells directly influence cancer progression",2011,"Science translational medicine 3 (66), 66ra5-66ra","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12575250413310285620",4,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:zYLM7Y9cAGgC",5,,,,115,14.38,29,4,8
110,"HB Sager, M Hulsmans, KJ Lavine, MB Moreira, T Heidt, G Courties, ...","Proliferation and recruitment contribute to myocardial macrophage expansion in chronic heart failure",2016,"Circulation research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18229524215808498377",5,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:kNdYIx-mwKoC",119,7,853,864,110,36.67,16,7,3
92,"KC Koskinas, YS Chatzizisis, AB Baker, ER Edelman, PH Stone, ...","The role of low endothelial shear stress in the conversion of atherosclerotic lesions from stable to unstable plaque",2009,"Current opinion in cardiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8078776912969318260",6,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:2osOgNQ5qMEC",24,6,580,590,92,9.20,15,6,10
80,"N Artzi, T Shazly, AB Baker, A Bon, ER Edelman","Aldehyde‐amine chemistry enables modulated biosealants with tissue‐specific adhesion",2009,"Advanced materials 21 (32‐33)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6672531462931961906",7,"2019-05-15","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:Tyk-4Ss8FVUC",,,3399,3403,80,8.00,16,5,10
73,"AB Baker, JE Sanders","Fluid mechanics analysis of a spring-loaded jet injector",1999,"IEEE Transactions on Biomedical Engineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4481332390551285785",8,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:IjCSPb-OGe4C",46,2,235,242,73,3.65,37,2,20
69,"M Jonas, ER Edelman, A Groothuis, AB Baker, P Seifert, C Rogers","Vascular neointimal formation and signaling pathway activation in response to stent injury in insulin-resistant and diabetic animals",2005,"Circulation research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4892095340309993555",9,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:u-x6o8ySG0sC",97,7,725,733,69,4.93,12,6,14
66,"AB Baker, DS Ettenson, M Jonas, MA Nugent, RV Iozzo, ER Edelman","Endothelial cells provide feedback control for vascular remodeling through a mechanosensitive autocrine TGF-β signaling pathway",2008,"Circulation research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13456435799681259662",10,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:qjMakFHDy7sC",103,3,289,297,66,6.00,11,6,11
64,"JE Sanders, SG Zachariah, AB Baker, JM Greve, C Clinton","Effects of changes in cadence, prosthetic componentry, and time on interface pressures and shear stresses of three trans-tibial amputees",2000,"Clinical Biomechanics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14303488223983209125",11,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:9yKSN-GCB0IC",15,9,684,694,64,3.37,13,5,19
63,"S Das, AB Baker","Biomaterials and nanotherapeutics for enhancing skin wound healing",2016,"Frontiers in bioengineering and biotechnology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17176048891259685203",12,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:PELIpwtuRlgC",4,,82,82,63,21.00,32,2,3
63,"PL Voyvodic, D Min, R Liu, E Williams, V Chitalia, AK Dunn, AB Baker","Loss of syndecan-1 induces a pro-inflammatory phenotype in endothelial cells with a dysregulated response to atheroprotective flow",2014,"Journal of Biological Chemistry","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16906800648872393488",13,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:pyW8ca7W8N0C",289,14,9547,9559,63,12.60,9,7,5
57,"AB Baker, A Groothuis, M Jonas, DS Ettenson, T Shazly, E Zcharia, ...","Heparanase alters arterial structure, mechanics, and repair following endovascular stenting in mice",2009,"Circulation research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1770263775911891076",14,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:UeHWp8X0CEIC",104,3,380,387,57,5.70,8,7,10
56,"R Barn, R Waaijman, F Nollet, J Woodburn, SA Bus","Predictors of barefoot plantar pressure during walking in patients with diabetes, peripheral neuropathy and a history of ulceration",2015,"PloS one","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12783432024182220211,11442911140543497245,18301107469380557633,280210973239844808",15,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:N5tVd3kTz84C",10,2,117443,,56,14.00,11,5,4
55,"KC Koskinas, GK Sukhova, AB Baker, MI Papafaklis, YS Chatzizisis, ...","Thin-capped atheromata with reduced collagen content in pigs develop in coronary arterial regions exposed to persistently low endothelial shear stress",2013,"Arteriosclerosis, thrombosis, and vascular biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14464137777108698716",16,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:dhFuZR0502QC",33,7,1494,1504,55,9.17,9,6,6
42,"AB Baker, WJ Gibson, VB Kolachalama, M Golomb, L Indolfi, C Spruell, ...","Heparanase regulates thrombosis in vascular injury and stent-induced flow disturbance",2012,"Journal of the American College of Cardiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10540995924378921455",17,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:hqOjcs7Dif8C",59,17,1551,1560,42,6.00,6,7,7
38,"AB Baker, YS Chatzizisis, R Beigel, M Jonas, BV Stone, AU Coskun, ...","Regulation of heparanase expression in coronary artery disease in diabetic, hyperlipidemic swine",2010,"Atherosclerosis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2084547773866853531",18,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:LkGwnXOMwfcC",213,2,436,442,38,4.22,5,7,9
37,"L Indolfi, AB Baker, ER Edelman","The role of scaffold microarchitecture in engineering endothelial cell immunomodulation",2012,"Biomaterials","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3845914910666891624",19,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:0EnyYjriUFMC",33,29,7019,7027,37,5.29,12,3,7
35,"PL Voyvodic, D Min, AB Baker","A multichannel dampened flow system for studies on shear stress-mediated mechanotransduction",2012,"Lab on a Chip","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4571955777492083554",20,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:5nxA0vEk-isC",12,18,3322,3330,35,5.00,12,3,7
34,"JP Richie, A Das, AM Calcagnotto, R Sinha, W Neidig, J Liao, ...","Comparative effects of two different forms of selenium on oxidative stress biomarkers in healthy men: a randomized clinical trial",2014,"Cancer Prevention Research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13124859890415019896",21,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:xtRiw3GOFMkC",7,8,796,804,34,6.80,5,7,5
34,"E Jang, H Albadawi, MT Watkins, ER Edelman, AB Baker","Syndecan-4 proteoliposomes enhance fibroblast growth factor-2 (FGF-2)–induced proliferation, migration, and neovascularization of ischemic muscle",2012,"Proceedings of the National Academy of Sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12727913569695144804",22,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:Se3iqnhoufwC",109,5,1679,1684,34,4.86,7,5,7
32,"HR Mobine, AB Baker, L Wang, H Wakimoto, KC Jacobsen, CE Seidman, ...","Pheochromocytoma-induced cardiomyopathy is modulated by the synergistic effects of cell-secreted factors",2009,"Circulation: Heart Failure","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7990255451368418500",23,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:YsMSGLbcyi4C",2,2,121,128,32,3.20,5,7,10
29,"S Chaterji, P Kim, SH Choe, JH Tsui, CH Lam, DS Ho, AB Baker, DH Kim","Synergistic effects of matrix nanotopography and stiffness on vascular smooth muscle cell function",2014,"Tissue Engineering Part A 20 (15-16)","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13837971103896257344",24,"2019-05-15","Book chapter","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:EUQCXRtRnyEC",,,2115,2126,29,5.80,4,8,5
28,"S Das, G Singh, AB Baker","Overcoming disease-induced growth factor resistance in therapeutic angiogenesis using recombinant co-receptors delivered by a liposomal system",2014,"Biomaterials","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6920182599156423522",25,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:RYcK_YlVTxYC",35,1,196,205,28,5.60,9,3,5
27,"TM Shazly, AB Baker, JR Naber, A Bon, KJ Van Vliet, ER Edelman","Augmentation of postswelling surgical sealant potential of adhesive hydrogels",2010,"Journal of Biomedical Materials Research Part A","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1530486413369379976",26,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:_FxGoFyzp5QC",95,4,1159,1169,27,3.00,5,6,9
27,"YS Chatzizisis, M Jonas, R Beigel, AU Coskun, AB Baker, BV Stone, ...","Attenuation of inflammation and expansive remodeling by Valsartan alone or in combination with Simvastatin in high-risk coronary atherosclerotic plaques",2009,"Atherosclerosis","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4883069353806787904",27,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:W7OEmFMy1HYC",203,2,387,394,27,2.70,4,7,10
25,"C Tu, S Das, AB Baker, J Zoldan, LJ Suggs","Nanoscale strategies: treatment for peripheral vascular disease and critical limb ischemia",2015,"ACS nano","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17409607336723457166",28,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:p2g8aNsByqUC",9,4,3436,3452,25,6.25,5,5,4
19,"KC Koskinas, YS Chatzizisis, MI Papafaklis, AU Coskun, AB Baker, ...","Synergistic effect of local endothelial shear stress and systemic hypercholesterolemia on coronary atherosclerotic plaque progression and composition in pigs",2013,"International journal of cardiology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13608665816058913204",29,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:hMod-77fHWUC",169,6,394,401,19,3.17,3,6,6
17,"JE Sanders, AB Baker, SL Golledge","Control of in vivo microvessel ingrowth by modulation of biomaterial local architecture and chemistry",2002,"Journal of biomedical materials research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7674633246768007063",30,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:Y0pCki6q_DkC",60,1,36,43,17,1.00,6,3,17
15,"C Spruell, AB Baker","Analysis of a high‐throughput cone‐and‐plate apparatus for the application of defined spatiotemporal flow to cultured cells",2013,"Biotechnology and bioengineering","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7198420063269522713",31,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:ULOm3_A8WrAC",110,6,1782,1793,15,2.50,8,2,6
15,"J Lee, M Wong, Q Smith, AB Baker","A novel system for studying mechanical strain waveform-dependent responses in vascular smooth muscle cells",2013,"Lab on a chip","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17372860986291732808",32,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:blknAaTinKkC",13,23,4573,4582,15,2.50,4,4,6
14,"S Chaterji, CH Lam, DS Ho, DC Proske, AB Baker","Syndecan-1 regulates vascular smooth muscle cell phenotype",2014,"PloS one","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10160443767169123736",33,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:bFI3QPDXJZMC",9,2,89824,,14,2.80,3,5,5
14,"ER Edelman, AB Baker","Simultaneous Delivery of Receptors and/or Co-Receptors for Growth Factor Stability and Activity",2009,"US Patent App. 12","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3595023250810847385",34,"2019-05-15","Patent","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:UebtZRa9Y70C",389,,765,765,14,1.40,7,2,10
13,"S Das, M Majid, AB Baker","Syndecan-4 enhances PDGF-BB activity in diabetic wound healing",2016,"Acta biomaterialia","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12525352744881474097",35,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:kRWSkSYxWN8C",42,,56,65,13,4.33,4,3,3
13,"S Das, G Singh, M Majid, MB Sherman, S Mukhopadhyay, CS Wright, ...","Syndesome therapeutics for enhancing diabetic wound healing",2016,"Advanced healthcare materials","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13032355383535578145",36,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:J-pR_7NvFogC",5,17,2248,2260,13,4.33,2,7,3
13,"L Indolfi, M Ligorio, DT Ting, K Xega, AR Tzafriri, F Bersani, N Aceto, ...","A tunable delivery platform to provide local chemotherapy for pancreatic ductal adenocarcinoma",2016,"Biomaterials","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12829871626262418941",37,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:VOx2b1Wkg3QC",93,,71,82,13,4.33,2,8,3
13,"S Das, AJ Monteforte, G Singh, M Majid, MB Sherman, AK Dunn, ...","Syndecan‐4 Enhances Therapeutic Angiogenesis after Hind Limb Ischemia in Mice with Type 2 Diabetes",2016,"Advanced healthcare materials","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13871372091511054298",38,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:8AbLer7MMksC",5,9,1008,1013,13,4.33,2,7,3
12,"K Wei, Y Peng, W Wen, Y Pei, D Fang","Tailorable thermal expansion of lightweight and robust dual-constituent triangular lattice material",2017,"Journal of Applied Mechanics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16881955577997022690,13907633982726818337",39,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:nb7KW1ujOQ8C",84,10,101006,101006,12,6.00,2,5,2
11,"A Spencer, C Spruell, S Nandi, M Wong, M Creixell, AB Baker","A high-throughput mechanofluidic screening platform for investigating tumor cell adhesion during metastasis",2016,"Lab on a Chip","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=355855109362673030",40,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:tOudhMTPpwUC",16,1,142,152,11,3.67,2,6,3
10,"A Terzic, C Perez-Terzic","Channelopathies: decoding disease pathogenesis",2010,"Science translational medicine 2 (42), 42ps37-42ps","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7953375125750334060",41,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:BqipwSGYUEgC",37,,,,10,1.11,5,2,9
9,"AB Baker, JE Sanders","Angiogenesis stimulated by mechanical loading",2000,"Microvascular research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1526323382695150412",42,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:ufrVoPGSRksC",60,2,177,181,9,0.47,5,2,19
8,"K Henderson, AD Sligar, VP Le, J Lee, AB Baker","Biomechanical regulation of mesenchymal stem cells for cardiovascular tissue engineering",2017,"Advanced healthcare materials","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12932235243590824278",43,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:UHK10RUVsp4C",6,22,1700556,1700556,8,4.00,2,5,2
7,"AJ Monteforte, B Lam, S Das, S Mukhopadhyay, CS Wright, PE Martin, ...","Glypican-1 nanoliposomes for potentiating growth factor activity in therapeutic angiogenesis",2016,"Biomaterials","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13724304603622679642",44,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hWjfirkAAAAJ&pagesize=100&citation_for_view=hWjfirkAAAAJ:eJXPG6dFmWUC",94,,45,56,7,2.33,1,7,3
