Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
1881,"D Huh, BD Matthews, A Mammoto…","Reconstituting organ-level lung functions on a chip",2010,"…","science.sciencemag.org","http://science.sciencemag.org/content/328/5986/1662.short","https://scholar.google.com/scholar?cites=3844561355676651737&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-24","","","","",,,,,1881,209.00,470,4,9
478,"K Takahashi, T Sasaki, A Mammoto, K Takaishi…","Direct interaction of the Rho GDP dissociation inhibitor with ezrin/radixin/moesin initiates the activation of the Rho small G protein",1997,"Journal of Biological …","ASBMB","http://www.jbc.org/content/272/37/23371.short","https://scholar.google.com/scholar?cites=9501948981335719573&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-24","","","","",,,,,478,21.73,96,5,22
444,"A Mammoto, KM Connor, T Mammoto, CW Yung…","A mechanosensitive transcriptional mechanism that controls angiogenesis",2009,"Nature","nature.com","https://www.nature.com/articles/nature07765","https://scholar.google.com/scholar?cites=12498932897268778411&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-24","","","","",,,,,444,44.40,89,5,10
310,"R Derda, A Laromaine, A Mammoto…","supported 3D cell culture for tissue-based bioassays",2009,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/106/44/18457.short","https://scholar.google.com/scholar?cites=2944968347113387948&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-24","","","","",,,,,310,31.00,78,4,10
290,"A Mammoto, T Mammoto, DE Ingber","Mechanosensitive mechanisms in transcriptional regulation",2012,"J Cell Sci","jcs.biologists.org","http://jcs.biologists.org/content/125/13/3061.short","https://scholar.google.com/scholar?cites=1253122144699092965&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-24","","","","",,,,,290,41.43,97,3,7
232,"JH Kang, S Krause, H Tobin, A Mammoto…","A combined micromagnetic-microfluidic device for rapid capture and culture of rare circulating tumor cells",2012,"Lab on a Chip","pubs.rsc.org","https://pubs.rsc.org/en/content/articlehtml/2012/lc/c2lc40072c","https://scholar.google.com/scholar?cites=10231554127022717426&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-24","HTML","","","",,,,,232,33.14,46,5,7
229,"CK Thodeti, B Matthews, A Ravi, A Mammoto…","TRPV4 channels mediate cyclic strain–induced endothelial cell reorientation through integrin-to-integrin signaling",2009,"Circulation …","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/circresaha.108.192930","https://scholar.google.com/scholar?cites=5246429953236959726&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-24","","","","",,,,,229,22.90,46,5,10
219,"A Mammoto, S Huang, K Moore, P Oh…","Role of RhoA, mDia, and ROCK in cell shape-dependent control of the Skp2-p27kip1 pathway and the G1/S transition",2004,"Journal of biological …","ASBMB","http://www.jbc.org/content/279/25/26323.short","https://scholar.google.com/scholar?cites=4189570662399972738&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-24","","","","",,,,,219,14.60,44,5,15
206,"T Mammoto, A Mammoto…","Mechanobiology and developmental control",2013,"Annual review of cell and …","annualreviews.org","https://www.annualreviews.org/doi/abs/10.1146/annurev-cellbio-101512-122340","https://scholar.google.com/scholar?cites=6607926697383505767&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-24","","","","",,,,,206,34.33,69,3,6
193,"A Mammoto, DE Ingber","Cytoskeletal control of growth and cell fate switching",2009,"Current opinion in cell biology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0955067409001483","https://scholar.google.com/scholar?cites=16992367537022951420&as_sdt=800005&sciodt=0,15&hl=en",10,"2019-06-24","HTML","","","",,,,,193,19.30,97,2,10
