Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
338,"M Navab, GM Anantharamaiah, ST Reddy, S Hama…","Oral D-4F causes formation of pre-β high-density lipoprotein and improves high-density lipoprotein–mediated cholesterol efflux and reverse cholesterol transport from …",2004,"Circulation","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/01.CIR.0000134275.90823.87","https://scholar.google.com/scholar?cites=14714920420695127177&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-27","","","","",,,,,338,22.53,68,5,15
359,"JH Dwyer, M Navab, KM Dwyer, K Hassan, P Sun…","Oxygenated carotenoid lutein and progression of early atherosclerosis: the Los Angeles atherosclerosis study",2001,"Circulation","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/01.cir.103.24.2922","https://scholar.google.com/scholar?cites=1538605156578404801&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-27","","","","",,,,,359,19.94,60,6,18
379,"F Parhami, Y Tintut, A Ballard, AM Fogelman…","Leptin enhances the calcification of vascular cells: artery wall as a target of leptin",2001,"Circulation …","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/hh0901.090975","https://scholar.google.com/scholar?cites=1464293117729897513&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-27","","","","",,,,,379,21.06,76,5,18
552,"M Navab, SY Hama, GM Anantharamaiah…","Normal high density lipoprotein inhibits three steps in the formation of mildly oxidized low density lipoprotein: steps 2 and 3",2000,"Journal of lipid …","ASBMB","http://www.jlr.org/content/41/9/1495.short","https://scholar.google.com/scholar?cites=2640984926322795820&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-27","","","","",,,,,552,29.05,138,4,19
524,"M Navab, SY Hama, CJ Cooke…","Normal high density lipoprotein inhibits three steps in the formation of mildly oxidized low density lipoprotein: step 1",2000,"Journal of lipid …","ASBMB","http://www.jlr.org/content/41/9/1481.short","https://scholar.google.com/scholar?cites=5659382437221413314&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-27","","","","",,,,,524,27.58,131,4,19
432,"M Navab, GM Anantharamaiah, S Hama, DW Garber…","Oral administration of an Apo AI mimetic Peptide synthesized from D-amino acids dramatically reduces atherosclerosis in mice independent of plasma cholesterol",2002,"Circulation","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/hc0302.103711","https://scholar.google.com/scholar?cites=1610659593961864437&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-27","","","","",,,,,432,25.41,86,5,17
344,"M Navab, SY Hama, GP Hough…","A cell-free assay for detecting HDL that is dysfunctional in preventing the formation of or inactivating oxidized phospholipids",2001,"Journal of lipid …","ASBMB","http://www.jlr.org/content/42/8/1308.short","https://scholar.google.com/scholar?cites=13145069134525941010&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-27","","","","",,,,,344,19.11,86,4,18
184,"TF Lüscher, ULF Landmesser…","High-density lipoprotein: vascular protective effects, dysfunction, and potential as therapeutic target",2014,"Circulation …","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/circresaha.114.300935","https://scholar.google.com/scholar?cites=14161595892767979420&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-27","","","","",,,,,184,36.80,61,3,5
222,"AJ Lusis, AM Fogelman, GC Fonarow","Genetic basis of atherosclerosis: part I: new genes and pathways",2004,"Circulation","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/01.cir.0000143041.58692.cc","https://scholar.google.com/scholar?cites=6181965008692878963&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-27","","","","",,,,,222,14.80,74,3,15
409,"ST Reddy, DJ Wadleigh, V Grijalva, C Ng…","Human paraoxonase-3 is an HDL-associated enzyme with biological activity similar to paraoxonase-1 protein but is not regulated by oxidized lipids",2001,"… , and vascular biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/01.ATV.21.4.542","https://scholar.google.com/scholar?cites=10804189961785928093&as_sdt=800005&sciodt=0,15&hl=en",10,"2019-06-27","","","","",,,,,409,22.72,82,5,18
119,"C Charles‐Schoeman, J Watanabe…","Abnormal function of high‐density lipoprotein is associated with poor disease control and an altered protein cargo in rheumatoid arthritis",2009,"… : Official Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/art.24802","https://scholar.google.com/scholar?cites=17163755499196890249&as_sdt=800005&sciodt=0,15&hl=en",11,"2019-06-27","","","","",,,,,119,11.90,40,3,10
99,"DM Shih, YR Xia, XP Wang, SS Wang…","Decreased obesity and atherosclerosis in human paraoxonase 3 transgenic mice",2007,"Circulation …","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/01.RES.0000264499.48737.69","https://scholar.google.com/scholar?cites=4582847981381104077&as_sdt=800005&sciodt=0,15&hl=en",12,"2019-06-27","","","","",,,,,99,8.25,20,5,12
265,"F Liao, A Andalibi, JH Qiao, H Allayee…","Genetic evidence for a common pathway mediating oxidative stress, inflammatory gene induction, and aortic fatty streak formation in mice.",1994,"The Journal of …","Am Soc Clin Investig","https://www.jci.org/articles/view/117409","https://scholar.google.com/scholar?cites=9967148859204586814&as_sdt=800005&sciodt=0,15&hl=en",13,"2019-06-27","","","","",,,,,265,10.60,53,5,25
273,"LAT Bloedon, R Dunbar, D Duffy, P Pinell-Salles…","Safety, pharmacokinetics, and pharmacodynamics of oral apoA-I mimetic peptide D-4F in high-risk cardiovascular patients",2008,"Journal of lipid …","ASBMB","http://www.jlr.org/content/49/6/1344.short","https://scholar.google.com/scholar?cites=6702211317475590071&as_sdt=800005&sciodt=0,15&hl=en",14,"2019-06-27","","","","",,,,,273,24.82,55,5,11
295,"DM Shih, L Gu, S Hama, YR Xia…","Genetic-dietary regulation of serum paraoxonase expression and its role in atherogenesis in a mouse model.",1996,"The Journal of …","Am Soc Clin Investig","https://www.jci.org/articles/view/118589","https://scholar.google.com/scholar?cites=9933781798841054418&as_sdt=800005&sciodt=0,15&hl=en",15,"2019-06-27","","","","",,,,,295,12.83,59,5,23
100,"M Navab, I Shechter, GM Anantharamaiah…","Structure and function of HDL mimetics",2010,"… , and vascular biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/ATVBAHA.109.187518","https://scholar.google.com/scholar?cites=2929958811329490978&as_sdt=800005&sciodt=0,15&hl=en",16,"2019-06-27","","","","",,,,,100,11.11,25,4,9
88,"CC Hedrick, K Hassan, GP Hough, JH Yoo…","Short-term feeding of atherogenic diet to mice results in reduction of HDL and paraoxonase that may be mediated by an immune mechanism",2000,"… , and vascular biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/01.atv.20.8.1946","https://scholar.google.com/scholar?cites=379641545732379579&as_sdt=800005&sciodt=0,15&hl=en",17,"2019-06-27","","","","",,,,,88,4.63,18,5,19
123,"C Charles-Schoeman, D Khanna, DE Furst…","Effects of high-dose atorvastatin on antiinflammatory properties of high density lipoprotein in patients with rheumatoid arthritis: a pilot study.",2007,"The Journal of …","jrheum.org","http://www.jrheum.org/content/34/7/1459.short","https://scholar.google.com/scholar?cites=18372485244330319016&as_sdt=800005&sciodt=0,15&hl=en",18,"2019-06-27","","","","",,,,,123,10.25,31,4,12
101,"AJ Lusis, AM Fogelman, GC Fonarow","Genetic basis of atherosclerosis: part II: clinical implications",2004,"Circulation","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/01.CIR.0000143098.98869.F8","https://scholar.google.com/scholar?cites=4025607785556407327&as_sdt=800005&sciodt=0,15&hl=en",19,"2019-06-27","","","","",,,,,101,6.73,34,3,15
230,"G Subbanagounder, N Leitinger…","Determinants of Bioactivity of Oxidized Phospholipids: Specific Oxidized Fatty Acyl Groups at the sn-2 Position",2000,"… , and vascular biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/atvb.20.10.2248","https://scholar.google.com/scholar?cites=1222118749002415778&as_sdt=800005&sciodt=0,15&hl=en",20,"2019-06-27","","","","",,,,,230,12.11,77,3,19
48,"E Ganapathy, F Su, D Meriwether…","D‐4F, an apoA‐I mimetic peptide, inhibits proliferation and tumorigenicity of epithelial ovarian cancer cells by upregulating the antioxidant enzyme MnSOD",2012,"… journal of cancer","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.26079","https://scholar.google.com/scholar?cites=5478797522652580444&as_sdt=800005&sciodt=0,15&hl=en",21,"2019-06-27","","","","",,,,,48,6.86,12,4,7
45,"F Gao, SX Vasquez, F Su, S Roberts, N Shah…","L-5F, an apolipoprotein AI mimetic, inhibits tumor angiogenesis by suppressing VEGF/basic FGF signaling pathways",2011,"Integrative …","academic.oup.com","https://academic.oup.com/ib/article-abstract/3/4/479/5219082","https://scholar.google.com/scholar?cites=9573783615174828004&as_sdt=800005&sciodt=0,15&hl=en",22,"2019-06-27","","","","",,,,,45,5.63,8,6,8
