Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
15,"N Ceneri, L Zhao, BD Young, A Healy…","Rac2 modulates atherosclerotic calcification by regulating macrophage interleukin-1β production",2017,"… , and vascular biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/ATVBAHA.116.308507","https://scholar.google.com/scholar?cites=15440503504073104147&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-21","","","","",,,,,15,7.50,3,5,2
27,"AR Morrison, J Moss, LA Stevens, JE Evans…","ART2, a T cell surface mono-ADP-ribosyltransferase, generates extracellular poly (ADP-ribose)",2006,"Journal of Biological …","ASBMB","http://www.jbc.org/content/281/44/33363.short","https://scholar.google.com/scholar?cites=5715475352246155041&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-21","","","","",,,,,27,2.08,5,5,13
20,"AR Morrison, TO Yarovinsky, BD Young…","Chemokine-coupled β2 integrin–induced macrophage Rac2–Myosin IIA interaction regulates VEGF-A mRNA stability and arteriogenesis",2014,"Journal of …","jem.rupress.org","http://jem.rupress.org/content/211/10/1957.short","https://scholar.google.com/scholar?cites=15491190041746344135&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-21","","","","",,,,,20,4.00,5,4,5
4,"SK Heysell, TA Thomas, AR Morrison…","Salmonella panama and Acute Respiratory Distress Syndrome in a Traveler Taking a Proton Pump Inhibitor",2008,"Journal of travel …","academic.oup.com","https://academic.oup.com/jtm/article-abstract/15/6/460/1827871","https://scholar.google.com/scholar?cites=6226370425105243687&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-21","","","","",,,,,4,0.36,1,4,11
15,"G Bailey, J Meadows, AR Morrison","Imaging atherosclerotic plaque calcification: translating biology",2016,"Current atherosclerosis reports","Springer","https://link.springer.com/article/10.1007/s11883-016-0601-6","https://scholar.google.com/scholar?cites=9030033645823722758&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-21","HTML","","","",,,,,15,5.00,5,3,3
28,"AR Morrison, AJ Sinusas","Advances in radionuclide molecular imaging in myocardial biology",2010,"Journal of nuclear cardiology","Springer","https://link.springer.com/article/10.1007/s12350-009-9167-9","https://scholar.google.com/scholar?cites=6316436825445141501&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-21","HTML","","","",,,,,28,3.11,14,2,9
11,"C Hwangbo, J Wu, I Papangeli, T Adachi…","Endothelial APLNR regulates tissue fatty acid uptake and is essential for apelin's glucose-lowering effects",2017,"Science translational …","stm.sciencemag.org","http://stm.sciencemag.org/content/9/407/eaad4000.abstract","https://scholar.google.com/scholar?cites=6437455211412287697&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-21","","","","",,,,,11,5.50,2,5,2
1,"X Zheng, AR Morrison, AS Chung…","Substrate specificity of soluble and membrane‐associated ADP‐ribosyltransferase ART2. 1",2006,"Journal of cellular …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jcb.20722","https://scholar.google.com/scholar?cites=10756454831600133468&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-21","","","","",,,,,1,0.08,0,4,13
1,"G Bailey, A Healy, BD Young, E Sharma, J Meadows…","Relative predictive value of lung cancer screening CT versus myocardial perfusion attenuation correction CT in the evaluation of coronary calcium",2017,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0175678","https://scholar.google.com/scholar?cites=5647097678836296694&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-21","HTML","","","",,,,,1,0.50,0,6,2
11,"AR Morrison, AJ Sinusas","New molecular imaging targets to characterize myocardial biology",2009,"Cardiology clinics","Elsevier","https://www.sciencedirect.com/science/article/pii/S073386510800132X","https://scholar.google.com/scholar?cites=3122803158611258128&as_sdt=800005&sciodt=0,15&hl=en",10,"2019-06-21","","","","",,,,,11,1.10,6,2,10
0,"N Ceneri, L Zhao, BD Young, AL Healy…","Rac2 is a Key Modulator of IL-1β-dependent Atherosclerotic Plaque Calcification",2016,"… and Vascular Biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/atvb.36.suppl_1.655","",11,"2019-06-21","","","","",,,,,0,0.00,0,5,3
0,"AR Morrison, TO Yarovinsky, BD Young, F Moraes…","Chemokine-Coupled β2 Integrin-Dependent mRNA Stabilization in Macrophages Modulates VEGF-A Protein Levels During Ischemia-Induced Arteriogenesis",2013,"","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/circ.128.suppl_22.A19281","",12,"2019-06-21","","","","",,,,,0,0.00,0,5,6
0,"BD Young, J Zhang, A Mohan, ND Robinson…","β2 Integrin-Dependent HuR-Mediated mRNA Stabilization in Macrophages is Required for Lymphatic Vessel Formation in Inflammatory Lymphangiogenesis",2013,"","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/circ.128.suppl_22.a19105","",13,"2019-06-21","","","","",,,,,0,0.00,0,5,6
0,"C Mantsounga, AL Healy, N Ceneri…","Macrophage Dicer Expression is Required for VEGF-A-induced Arteriogenesis",2017,"… , and Vascular Biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/atvb.37.suppl_1.419","",14,"2019-06-21","","","","",,,,,0,0.00,0,4,2
0,"NM Ceneri, BD Young, TO Yarovinsky…","Rac2 Modulates Macrophage IL-1β Production, Atherosclerotic Plaque Inflammation, and Calcific Atherosclerosis",2015,"… and Vascular Biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/atvb.35.suppl_1.142","",15,"2019-06-21","","","","",,,,,0,0.00,0,4,4
0,"AR Morrison, K Ike, T Yarovinsky, J Bender","Chemokine-Driven β2 Integrin Adhesion Influences Macrophage Cytokine Gene Expression and Atherosclerotic Lesion Composition Through an Induced Rac2 …",2012,"","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/atvb.32.suppl_1.A78","",16,"2019-06-21","","","","",,,,,0,0.00,0,4,7
0,"L Zhao, AL Healy, N Ceneri, G Bailey…","Statins Modulate Rac-dependent IL-1 beta Expression to Influence Calcium Composition",2016,"… and Vascular Biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/atvb.36.suppl_1.650","",17,"2019-06-21","","","","",,,,,0,0.00,0,5,3
0,"BD Young, J Zhang, A Mohan…","HuR and microRNA-128 Competitively Regulate Vascular Endothelial Growth Factor C to Modulate Inflammatory Lymphangiogenesis",2015,"… and Vascular Biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/atvb.35.suppl_1.429","",18,"2019-06-21","","","","",,,,,0,0.00,0,4,4
0,"AL Healy, N Ceneri, C Mantsounga…","Rac-Signaling as a Critical Determinant of IL-1beta-Dependent Atherosclerotic Calcification",2017,"… , and Vascular Biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/atvb.37.suppl_1.215","",19,"2019-06-21","","","","",,,,,0,0.00,0,4,2
0,"AR Morrison","A Lymphocyte Surface Protein Produces the Signaling Molecule Poly (ADP-ribose) from NAD",2005,"","escholarship.umassmed.edu","https://escholarship.umassmed.edu/ssp/17/","",20,"2019-06-21","","","","",,,,,0,0.00,0,1,14
0,"AR Morrison","Poly (ADP)-Ribose Polymerase Activity in the Eukaryotic Mono-ADP-Ribosyl Transferase, ART2: a Dissertation",2003,"GSBS Dissertations","escholarship.umassmed.edu","http://escholarship.umassmed.edu/cgi/viewcontent.cgi?article=1126&context=gsbs_diss","",21,"2019-06-21","PDF","","","",,,,,0,0.00,0,1,16
0,"JL Christensen, E Sharma…","Impact of Slice Thickness on the Predictive Value of Lung Cancer Screening Computed Tomography in the Evaluation of Coronary Artery Calcification",2019,"Journal of the …","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/JAHA.118.010110","",22,"2019-06-21","","","","",,,,,0,0.00,0,3,1
0,"NR Shah, R Blankstein, T Villines, H Imran…","Correction to: Coronary CTA for Surveillance of Cardiac Allograft Vasculopathy",2019,"Current cardiovascular …","Springer","https://link.springer.com/article/10.1007/s12410-018-9476-y","",23,"2019-06-21","","","","",,,,,0,0.00,0,5,1
1,"NR Shah, R Blankstein, T Villines, H Imran…","Coronary CTA for Surveillance of Cardiac Allograft Vasculopathy",2018,"Current cardiovascular …","Springer","https://link.springer.com/article/10.1007/s12410-018-9467-z","https://scholar.google.com/scholar?cites=14036330777899530143&as_sdt=800005&sciodt=0,15&hl=en",24,"2019-06-21","HTML","","","",,,,,1,1.00,0,5,1
