Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
1102,"EK Rodriguez, A Hoger, AD McCulloch","Stress-dependent finite growth in soft elastic tissues",1994,"Journal of biomechanics","Elsevier","https://www.sciencedirect.com/science/article/pii/0021929094900213","https://scholar.google.com/scholar?cites=11310392276323910437&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-21","","","","",,,,,1102,44.08,367,3,25
748,"R Knöll, M Hoshijima, HM Hoffman, V Person…","The cardiac mechanical stretch sensor machinery involves a Z disc complex that is defective in a subset of human dilated cardiomyopathy",2002,"Cell","Elsevier","https://www.sciencedirect.com/science/article/pii/S0092867402012266","https://scholar.google.com/scholar?cites=13445124749175011249&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-21","HTML","","","",,,,,748,44.00,150,5,17
527,"JM Guccione, AD McCulloch…","Passive material properties of intact ventricular myocardium determined from a cylindrical model",1991,"Journal of …","… .asmedigitalcollection.asme.org","https://biomechanical.asmedigitalcollection.asme.org/pdfaccess.ashx?url=/data/journals/jbendy/25868/42_1.pdf","https://scholar.google.com/scholar?cites=12341808887585627827&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-21","","","","",,,,,527,18.82,176,3,28
446,"PJ Hunter, AD McCulloch, H Ter Keurs","Modelling the mechanical properties of cardiac muscle",1998,"Progress in biophysics and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0079610798000133","https://scholar.google.com/scholar?cites=14414426866063882918&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-21","HTML","","","",,,,,446,21.24,149,3,21
405,"JM Rogers, AD McCulloch","A collocation-Galerkin finite element model of cardiac action potential propagation",1994,"IEEE Transactions on Biomedical …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/310090/","https://scholar.google.com/scholar?cites=157092950894205127&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-21","","","","",,,,,405,16.20,203,2,25
341,"JG Jacot, AD McCulloch, JH Omens","Substrate stiffness affects the functional maturation of neonatal rat ventricular myocytes",2008,"Biophysical journal","Elsevier","https://www.sciencedirect.com/science/article/pii/S000634950878490X","https://scholar.google.com/scholar?cites=10154232002572393924&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-21","HTML","","","",,,,,341,31.00,114,3,11
322,"KD Costa, Y Takayama, AD McCulloch…","Laminar fiber architecture and three-dimensional systolic mechanics in canine ventricular myocardium",1999,"American Journal of …","physiology.org","https://www.physiology.org/doi/abs/10.1152/ajpheart.1999.276.2.h595","https://scholar.google.com/scholar?cites=11490486185429170232&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-21","","","","",,,,,322,16.10,81,4,20
317,"JM Guccione, KD Costa, AD McCulloch","Finite element stress analysis of left ventricular mechanics in the beating dog heart",1995,"Journal of biomechanics","Elsevier","https://www.sciencedirect.com/science/article/pii/0021929094001743","https://scholar.google.com/scholar?cites=15765167539212325579&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-21","","","","",,,,,317,13.21,106,3,24
288,"KD Costa, JW Holmes…","Modelling cardiac mechanical properties in three dimensions",2001,"… transactions of the …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rsta.2001.0828","https://scholar.google.com/scholar?cites=15871728078575052525&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-21","","","","",,,,,288,16.00,96,3,18
288,"FJ Vetter, AD McCulloch","Three-dimensional analysis of regional cardiac function: a model of rabbit ventricular anatomy",1998,"Progress in biophysics and molecular biology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0079610798000066","https://scholar.google.com/scholar?cites=4041174049855087517&as_sdt=800005&sciodt=0,15&hl=en",10,"2019-06-21","HTML","","","",,,,,288,13.71,144,2,21
