Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
622,"A Coxon, P Rieu, FJ Barkalow, S Askari, AH Sharpe…","A novel role for the β2 integrin CD11b/CD18 in neutrophil apoptosis: a homeostatic mechanism in inflammation",1996,"Immunity","Elsevier","https://www.sciencedirect.com/science/article/pii/S1074761300802782","https://scholar.google.com/scholar?cites=2591025821616206021&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-10","","","","",,,,,622,27.04,104,6,23
506,"J Oliner, H Min, J Leal, D Yu, S Rao, E You, X Tang…","Suppression of angiogenesis and tumor growth by selective inhibition of angiopoietin-2",2004,"Cancer cell","Elsevier","https://www.sciencedirect.com/science/article/pii/S1535610804002983","https://scholar.google.com/scholar?cites=9502476416438972814&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-10","HTML","","","",,,,,506,33.73,63,8,15
309,"A Polverino, A Coxon, C Starnes, Z Diaz, T DeMelfi…","AMG 706, an oral, multikinase inhibitor that selectively targets vascular endothelial growth factor, platelet-derived growth factor, and kit receptors, potently inhibits …",2006,"Cancer research","AACR","http://cancerres.aacrjournals.org/content/66/17/8715.short","https://scholar.google.com/scholar?cites=14547945683013951461&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-10","","","","",,,,,309,23.77,52,6,13
295,"T Burgess, A Coxon, S Meyer, J Sun, K Rex, T Tsuruda…","Fully human monoclonal antibodies to hepatocyte growth factor with therapeutic potential against hepatocyte growth factor/c-Met–dependent human tumors",2006,"Cancer research","AACR","http://cancerres.aacrjournals.org/content/66/3/1721.short","https://scholar.google.com/scholar?cites=5787391232638494771&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-10","","","","",,,,,295,22.69,42,7,13
242,"SG Soriano, A Coxon, YF Wang, MP Frosch…","Mice deficient in Mac-1 (CD11b/CD18) are less susceptible to cerebral ischemia/reperfusion injury",1999,"Stroke","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/e0d5/383ae32adddfb82ca8352db8f59b2de4ad28.pdf","https://scholar.google.com/scholar?cites=15175227823212030660&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-10","PDF","","","",,,,,242,12.10,48,5,20
219,"BL Falcón, H Hashizume, P Koumoutsakos…","Contrasting actions of selective inhibitors of angiopoietin-1 and angiopoietin-2 on the normalization of tumor blood vessels",2009,"The American journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0002944010607249","https://scholar.google.com/scholar?cites=12686925350690180000&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-10","HTML","","","",,,,,219,21.90,55,4,10
216,"H Hashizume, BL Falcón, T Kuroda, P Baluk, A Coxon…","Complementary actions of inhibitors of angiopoietin-2 and VEGF on tumor angiogenesis and growth",2010,"Cancer research","AACR","http://cancerres.aacrjournals.org/content/70/6/2213.short","https://scholar.google.com/scholar?cites=451836782101233862&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-10","","","","",,,,,216,24.00,36,6,9
208,"J Yan, V Větvička, Y Xia, A Coxon…","β-Glucan, a “specific” biologic response modifier that uses antibodies to target tumors for cytotoxic recognition by leukocyte complement receptor type 3 (CD11b/CD18 …",1999,"The Journal of …","Am Assoc Immnol","http://www.jimmunol.org/content/163/6/3045.short","https://scholar.google.com/scholar?cites=252797756155689398&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-10","","","","",,,,,208,10.40,42,5,20
179,"A Coxon, T Tang, TN Mayadas","Cytokine-activated endothelial cells delay neutrophil apoptosis in vitro and in vivo: a role for granulocyte/macrophage colony-stimulating factor",1999,"Journal of Experimental Medicine","jem.rupress.org","http://jem.rupress.org/content/190/7/923.abstract","https://scholar.google.com/scholar?cites=9158865819521194719&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-10","","","","",,,,,179,8.95,60,3,20
175,"A Coxon, X Cullere, S Knight, S Sethi, MW Wakelin…","FcγRIII mediates neutrophil recruitment to immune complexes: a mechanism for neutrophil accumulation in immune-mediated inflammation",2001,"Immunity","Elsevier","https://www.sciencedirect.com/science/article/pii/S1074761301001509","https://scholar.google.com/scholar?cites=13563132765672593238&as_sdt=800005&sciodt=0,15&hl=en",10,"2019-06-10","HTML","","","",,,,,175,9.72,29,6,18
