Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
731,"S Suchting, C Freitas, F le Noble, R Benedito, C Bréant, A Duarte, ...","The Notch ligand Delta-like 4 negatively regulates endothelial tip cell formation and vessel branching",2007,"Proceedings of the National Academy of Sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2354774005790693873",1,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YrUtJqEAAAAJ&pagesize=100&citation_for_view=YrUtJqEAAAAJ:d1gkVwhDpl0C",104,9,3225,3230,731,60.92,104,7,12
717,"T Tammela, G Zarkada, E Wallgard, A Murtomäki, S Suchting, ...","Blocking VEGFR-3 suppresses angiogenic sprouting and vascular network formation",2008,"Nature","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9506219618814066375",2,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YrUtJqEAAAAJ&pagesize=100&citation_for_view=YrUtJqEAAAAJ:u-x6o8ySG0sC",454,7204,656,656,717,65.18,120,6,11
679,"L Yuan, D Moyon, L Pardanaud, C Bréant, MJ Karkkainen, K Alitalo, ...","Abnormal lymphatic vessel development in neuropilin 2 mutant mice",2002,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18241988566967384660",3,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YrUtJqEAAAAJ&pagesize=100&citation_for_view=YrUtJqEAAAAJ:u5HHmVD_uO8C",129,20,4797,4806,679,39.94,97,7,17
571,"MJ Karkkainen, A Saaristo, L Jussila, KA Karila, EC Lawrence, K Pajusola, ...","A model for gene therapy of human hereditary lymphedema",2001,"Proceedings of the National Academy of Sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8229819125762800721",4,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YrUtJqEAAAAJ&pagesize=100&citation_for_view=YrUtJqEAAAAJ:9yKSN-GCB0IC",98,22,12677,12682,571,31.72,82,7,18
517,"T Jaffredo, R Gautier, A Eichmann, F Dieterlen-Lièvre","Intraaortic hemopoietic cells are derived from endothelial cells during ontogeny",1998,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6417048872407659",5,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YrUtJqEAAAAJ&pagesize=100&citation_for_view=YrUtJqEAAAAJ:qjMakFHDy7sC",125,22,4575,4583,517,24.62,129,4,21
500,"X Lu, F Le Noble, L Yuan, Q Jiang, B De Lafarge, D Sugiyama, C Bréant, ...","The netrin receptor UNC5B mediates guidance events controlling morphogenesis of the vascular system",2004,"Nature","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4775051742831075190",6,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YrUtJqEAAAAJ&pagesize=100&citation_for_view=YrUtJqEAAAAJ:UeHWp8X0CEIC",432,7014,179,179,500,33.33,63,8,15
439,"A Eichmann, C Corbel, V Nataf, P Vaigot, C Bréant, NM Le Douarin","Ligand-dependent development of the endothelial and hemopoietic lineages from embryonic mesodermal cells expressing vascular endothelial growth factor receptor 2",1997,"Proceedings of the National Academy of Sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8881818534396828856",7,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YrUtJqEAAAAJ&pagesize=100&citation_for_view=YrUtJqEAAAAJ:2osOgNQ5qMEC",94,10,5141,5146,439,19.95,73,6,22
425,"F Le Noble, D Moyon, L Pardanaud, L Yuan, V Djonov, R Matthijsen, ...","Flow regulates arterial-venous differentiation in the chick embryo yolk sac",2004,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17572448150016836672",8,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YrUtJqEAAAAJ&pagesize=100&citation_for_view=YrUtJqEAAAAJ:IjCSPb-OGe4C",131,2,361,375,425,28.33,61,7,15
378,"JL Pluznick, RJ Protzko, H Gevorgyan, Z Peterlin, A Sipos, J Han, I Brunet, ...","Olfactory receptor responding to gut microbiota-derived signals plays a role in renin secretion and blood pressure regulation",2013,"Proceedings of the National Academy of Sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10307313089222891316",9,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YrUtJqEAAAAJ&pagesize=100&citation_for_view=YrUtJqEAAAAJ:ZeXyd9-uunAC",110,11,4410,4415,378,63.00,47,8,6
290,"RH Adams, A Eichmann","Axon guidance molecules in vascular patterning",2010,"Cold Spring Harbor perspectives in biology 2 (5), a","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18376813994768136118",10,"2019-05-15","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YrUtJqEAAAAJ&pagesize=100&citation_for_view=YrUtJqEAAAAJ:ufrVoPGSRksC",1875,,,,290,32.22,145,2,9
