Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
669,"AF Siekmann, ND Lawson","Notch signalling limits angiogenic cell behaviour in developing zebrafish arteries",2007,"Nature","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1657497525086896136",1,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RUZRaiMAAAAJ&pagesize=100&citation_for_view=RUZRaiMAAAAJ:2osOgNQ5qMEC",445,7129,781,781,669,55.75,335,2,12
235,"MJ Parsons, H Pisharath, S Yusuff, JC Moore, AF Siekmann, N Lawson, ...","Notch-responsive cells initiate the secondary transition in larval zebrafish pancreas",2009,"Mechanisms of development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=788345160827734851",2,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RUZRaiMAAAAJ&pagesize=100&citation_for_view=RUZRaiMAAAAJ:d1gkVwhDpl0C",126,10,898,912,235,23.50,34,7,10
160,"AF Siekmann, L Covassin, ND Lawson","Modulation of VEGF signalling output by the Notch pathway",2008,"Bioessays","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7326888340438734451",3,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RUZRaiMAAAAJ&pagesize=100&citation_for_view=RUZRaiMAAAAJ:UebtZRa9Y70C",30,4,303,313,160,14.55,53,3,11
127,"J Bussmann, SA Wolfe, AF Siekmann","Arterial-venous network formation during brain vascularization involves hemodynamic regulation of chemokine signaling",2011,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11919171401485439333",4,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RUZRaiMAAAAJ&pagesize=100&citation_for_view=RUZRaiMAAAAJ:_kc_bZDykSQC",138,9,1717,1726,127,15.88,42,3,8
124,"J Krueger, D Liu, K Scholz, A Zimmer, Y Shi, C Klein, A Siekmann, ...","Flt1 acts as a negative regulator of tip cell formation and branching morphogenesis in the zebrafish embryo",2011,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12222792020973451679",5,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RUZRaiMAAAAJ&pagesize=100&citation_for_view=RUZRaiMAAAAJ:4TOpqqG69KYC",138,10,2111,2120,124,15.50,16,8,8
110,"I Geudens, R Herpers, K Hermans, I Segura, C Ruiz de Almodovar, ...","Role of delta-like-4/Notch in the formation and wiring of the lymphatic network in zebrafish",2010,"Arteriosclerosis, thrombosis, and vascular biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4742899979793045197",6,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RUZRaiMAAAAJ&pagesize=100&citation_for_view=RUZRaiMAAAAJ:eQOLeE2rZwMC",30,9,1695,1702,110,12.22,18,6,9
103,"LD Covassin, AF Siekmann, MC Kacergis, E Laver, JC Moore, ...","A genetic screen for vascular mutants in zebrafish reveals dynamic roles for Vegf/Plcg1 signaling during artery development",2009,"Developmental biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10724623349997898329",7,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RUZRaiMAAAAJ&pagesize=100&citation_for_view=RUZRaiMAAAAJ:KlAtU1dfN6UC",329,2,212,226,103,10.30,17,6,10
97,"AF Siekmann, C Standley, KE Fogarty, SA Wolfe, ND Lawson","Chemokine signaling guides regional patterning of the first embryonic artery",2009,"Genes & development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12759530348452545327",8,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RUZRaiMAAAAJ&pagesize=100&citation_for_view=RUZRaiMAAAAJ:qxL8FJ1GzNcC",23,19,2272,2277,97,9.70,19,5,10
96,"F Kiefer, AF Siekmann","The role of chemokines and their receptors in angiogenesis",2011,"Cellular and molecular life sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10300801611815524761",9,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RUZRaiMAAAAJ&pagesize=100&citation_for_view=RUZRaiMAAAAJ:kNdYIx-mwKoC",68,17,2811,2830,96,12.00,48,2,8
87,"C Zhu, T Smith, J McNulty, AL Rayla, A Lakshmanan, AF Siekmann, ...","Evaluation and application of modularly assembled zinc-finger nucleases in zebrafish",2011,"Development","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18443366805571482602",10,"2019-10-07","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RUZRaiMAAAAJ&pagesize=100&citation_for_view=RUZRaiMAAAAJ:ZeXyd9-uunAC",138,20,4555,4564,87,10.88,12,7,8
