Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
5312,"DJ Klionsky, FC Abdalla, H Abeliovich, RT Abraham, A Acevedo-Arozena, ...","Guidelines for the use and interpretation of assays for monitoring autophagy",2012,"Autophagy","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5775822219693224114,5466665393835199140,4059919776471603702,1876156459998835933,15727395399679133051,14103783534692537800,16282780193062256303,1439471447930621459,13302895010617927245,17009721662892082548,4211412878870255143,7442614592246118819,5274681938658297609,15301187303254647242",1,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:TFP_iSt0sucC",8,4,445,544,5312,758.86,885,6,7
1160,"B Razani, JA Engelman, XB Wang, W Schubert, XL Zhang, CB Marks, ...","Caveolin-1 null mice are viable but show evidence of hyperproliferative and vascular abnormalities",2001,"Journal of Biological Chemistry","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12857482314012243138",2,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:u5HHmVD_uO8C",276,41,38121,38138,1160,64.44,166,7,18
1113,"B Razani, SE Woodman, MP Lisanti","Caveolae: from cell biology to animal physiology",2002,"Pharmacological reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14368506549739043446",3,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:u-x6o8ySG0sC",54,3,431,467,1113,65.47,371,3,17
634,"F Galbiati, B Razani, MP Lisanti","Emerging themes in lipid rafts and caveolae",2001,"Cell","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7833422047649062925",4,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:d1gkVwhDpl0C",106,4,403,411,634,35.22,211,3,18
560,"S Epelman, KJ Lavine, AE Beaudin, DK Sojka, JA Carrero, B Calderon, ...","Embryonic and adult-derived resident cardiac macrophages are maintained through distinct mechanisms at steady state and during inflammation",2014,"Immunity","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=799183241605542363",5,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:mB3voiENLucC",40,1,91,104,560,112.00,80,7,5
547,"B Razani, TP Combs, XB Wang, PG Frank, DS Park, RG Russell, M Li, ...","Caveolin-1-deficient mice are lean, resistant to diet-induced obesity, and show hypertriglyceridemia with adipocyte abnormalities",2002,"Journal of Biological Chemistry","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13959679112704670379",6,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:9yKSN-GCB0IC",277,10,8635,8647,547,32.18,68,8,17
344,"B Razani, C Feng, T Coleman, R Emanuel, H Wen, S Hwang, JP Ting, ...","Autophagy links inflammasomes to atherosclerotic progression",2012,"Cell metabolism","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6540631053795068266",7,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:ULOm3_A8WrAC",15,4,534,544,344,49.14,43,8,7
328,"B Razani, XB Wang, JA Engelman, M Battista, G Lagaud, XL Zhang, ...","Caveolin-2-deficient mice show evidence of severe pulmonary dysfunction without disruption of caveolae",2002,"Molecular and cellular biology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11184582201895548879",8,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:2osOgNQ5qMEC",22,7,2329,2344,328,19.29,47,7,17
321,"B Razani, XL Zhang, M Bitzer, G von Gersdorff, EP Böttinger, MP Lisanti","Caveolin-1 regulates transforming growth factor (TGF)-β/SMAD signaling through an interaction with the TGF-β type I receptor",2001,"Journal of Biological Chemistry","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8486255543743540033",9,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:_xSYboBqXhAC",276,9,6727,6738,321,17.83,54,6,18
313,"AW Cohen, B Razani, XB Wang, TP Combs, TM Williams, PE Scherer, ...","Caveolin-1-deficient mice show insulin resistance and defective insulin receptor protein expression in adipose tissue",2003,"American Journal of Physiology-Cell Physiology 285 (1), C222-C","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13220920098222746610",10,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:UeHWp8X0CEIC",235,,,,313,19.56,45,7,16
306,"AW Cohen, B Razani, W Schubert, TM Williams, XB Wang, P Iyengar, ...","Role of caveolin-1 in the modulation of lipolysis and lipid droplet formation",2004,"Diabetes","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5473207960219603821",11,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:zYLM7Y9cAGgC",53,5,1261,1270,306,20.40,44,7,15
303,"W Schubert, PG Frank, B Razani, DS Park, CW Chow, MP Lisanti","Caveolae-deficient endothelial cells show defects in the uptake and transport of albumin in vivo",2001,"Journal of Biological Chemistry","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=468777842517672126",12,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:IjCSPb-OGe4C",276,52,48619,48622,303,16.83,51,6,18
252,"B Razani, MP Lisanti","Caveolin-deficient mice: insights into caveolar function human disease",2001,"The Journal of clinical investigation","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=35276890976577609",13,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:Tyk-4Ss8FVUC",108,11,1553,1561,252,14.00,126,2,18
220,"DS Park, SE Woodman, W Schubert, AW Cohen, PG Frank, M Chandra, ...","Caveolin-1/3 double-knockout mice are viable, but lack both muscle and non-muscle caveolae, and develop a severe cardiomyopathic phenotype",2002,"The American journal of pathology","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8940520899679401255",14,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:_FxGoFyzp5QC",160,6,2207,2217,220,12.94,31,7,17
214,"J Liu, B Razani, S Tang, BI Terman, JA Ware, MP Lisanti","Angiogenesis activators and inhibitors differentially regulate caveolin-1 expression and caveolae formation in vascular endothelial cells angiogenesis inhibitors block vascular …",1999,"Journal of Biological Chemistry","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8456531383776620520",15,"2019-05-16","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VS6HfrAAAAAJ&pagesize=100&citation_for_view=VS6HfrAAAAAJ:Y0pCki6q_DkC",274,22,15781,15785,214,10.70,36,6,20
