Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
56,"T Fukunishi, CA Best, T Sugiura, T Shoji, T Yi…","Tissue-engineered small diameter arterial vascular grafts from cell-free nanofiber PCL/chitosan scaffolds in a sheep model",2016,"PLoS …","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158555","https://scholar.google.com/scholar?cites=6912743782249940306&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-04","HTML","","","",,,,,56,18.67,9,6,3
22,"T Chiang, V Pepper, C Best…","Clinical translation of tissue engineered trachea grafts",2016,"Annals of Otology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0003489416656646","https://scholar.google.com/scholar?cites=7136288688971082509&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-04","","","","",,,,,22,7.33,6,4,3
31,"H Kurobe, MW Maxfield, S Tara, KA Rocco, PS Bagi…","Development of small diameter nanofiber tissue engineered arterial grafts",2015,"PLoS …","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0120328","https://scholar.google.com/scholar?cites=3822399871269597489&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-04","HTML","","","",,,,,31,7.75,5,6,4
95,"KA Rocco, MW Maxfield, CA Best, EW Dean…","In Vivo Applications of Electrospun Tissue-Engineered Vascular Grafts: A Review",2014,"… Engineering Part B …","liebertpub.com","https://www.liebertpub.com/doi/abs/10.1089/ten.teb.2014.0123","https://scholar.google.com/scholar?cites=17574186814545348665&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-04","","","","",,,,,95,19.00,19,5,5
96,"P Wicker, K Hallmann, C Breuer","Analyzing the impact of sport infrastructure on sport participation using geo-coded data: Evidence from multi-level models",2013,"Sport management review","Elsevier","https://www.sciencedirect.com/science/article/pii/S1441352312000484","https://scholar.google.com/scholar?cites=9266653461507391597&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-04","HTML","","","",,,,,96,16.00,32,3,6
15,"C Best, E Onwuka, V Pepper, M Sams, J Breuer…","Cardiovascular tissue engineering: preclinical validation to bedside application",2015,"Physiology","physiology.org","https://www.physiology.org/doi/abs/10.1152/physiol.00018.2015","https://scholar.google.com/scholar?cites=18004583299254040313&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-04","","","","",,,,,15,3.75,3,6,4
21,"R Khosravi, KS Miller, CA Best, YC Shih…","Biomechanical diversity despite mechanobiological stability in tissue engineered vascular grafts two years post-implantation",2015,"… Engineering Part A","liebertpub.com","https://www.liebertpub.com/doi/abs/10.1089/ten.tea.2014.0524","https://scholar.google.com/scholar?cites=13695695723292414544&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-04","","","","",,,,,21,5.25,4,5,4
46,"AJ Melchiorri, N Hibino, CA Best, T Yi…","3D‐printed biodegradable polymeric vascular grafts",2016,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/adhm.201500725","https://scholar.google.com/scholar?cites=9727800289067819401&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-04","","","","",,,,,46,15.33,9,5,3
54,"S Tara, KA Rocco, N Hibino, T Sugiura, H Kurobe…","Vessel bioengineering",2013,"Circulation …","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/circj/advpub/0/advpub_CJ-13-1440/_article/-char/ja/","https://scholar.google.com/scholar?cites=9803836167675499166&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-04","","","","",,,,,54,9.00,9,6,6
13,"H Kurobe, S Tara, MW Maxfield, KA Rocco…","Comparison of the biological equivalence of two methods for isolating bone marrow mononuclear cells for fabricating tissue-engineered vascular grafts",2014,"… Engineering Part C …","liebertpub.com","https://www.liebertpub.com/doi/abs/10.1089/ten.tec.2014.0442","https://scholar.google.com/scholar?cites=849880103604801677&as_sdt=800005&sciodt=0,15&hl=en",10,"2019-06-04","","","","",,,,,13,2.60,3,5,5
37,"BV Udelsman, MW Maxfield, CK Breuer","Tissue engineering of blood vessels in cardiovascular disease: moving towards clinical translation",2013,"Heart","heart.bmj.com","https://heart.bmj.com/content/99/7/454.short","https://scholar.google.com/scholar?cites=3061782921076539908&as_sdt=800005&sciodt=0,15&hl=en",11,"2019-06-04","","","","",,,,,37,6.17,12,3,6
13,"YU Lee, T Yi, S Tara, AY Lee, N Hibino…","Implantation of inferior vena cava interposition graft in mouse model",2014,"JoVE (Journal of …","jove.com","https://www.jove.com/video/51632/implantation-of-inferior-vena-cava-interposition-graft-in-mouse-model","https://scholar.google.com/scholar?cites=1430097446535624273&as_sdt=800005&sciodt=0,15&hl=en",12,"2019-06-04","HTML","","","",,,,,13,2.60,2,6,5
24,"Y Naito, K Rocco, H Kurobe, M Maxfield…","Tissue engineering in the vasculature",2014,"The Anatomical …","Wiley Online Library","https://nyaspubs.onlinelibrary.wiley.com/doi/pdf/10.1002/ar.22838","https://scholar.google.com/scholar?cites=1100152219597286360&as_sdt=800005&sciodt=0,15&hl=en",13,"2019-06-04","PDF","","","",,,,,24,4.80,5,5,5
19,"T Sugiura, N Hibino, CK Breuer…","Tissue-engineered cardiac patch seeded with human induced pluripotent stem cell derived cardiomyocytes promoted the regeneration of host cardiomyocytes …",2016,"Journal of …","cardiothoracicsurgery.biomedcentral …","https://cardiothoracicsurgery.biomedcentral.com/articles/10.1186/s13019-016-0559-z","https://scholar.google.com/scholar?cites=13267882351782001183&as_sdt=800005&sciodt=0,15&hl=en",14,"2019-06-04","HTML","","","",,,,,19,6.33,5,4,3
7,"IA James, T Yi, S Tara, CA Best, AJ Stuber…","Hemodynamic characterization of a mouse model for investigating the cellular and molecular mechanisms of neotissue formation in tissue-engineered heart valves",2015,"… Engineering Part C …","liebertpub.com","https://www.liebertpub.com/doi/abs/10.1089/ten.tec.2015.0011","https://scholar.google.com/scholar?cites=3915047262161656085&as_sdt=800005&sciodt=0,15&hl=en",15,"2019-06-04","","","","",,,,,7,1.75,1,6,4
