Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
154,"CM Halabi, AM Beyer, WJ de Lange, HL Keen…","Interference with PPARγ function in smooth muscle causes vascular dysfunction and hypertension",2008,"Cell metabolism","Elsevier","https://www.sciencedirect.com/science/article/pii/S1550413107003816","https://scholar.google.com/scholar?cites=12399604715779846373&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-26","HTML","","","",,,,,154,14.00,31,5,11
150,"Y Feng, H Xia, Y Cai, CM Halabi, LK Becker…","Brain-selective overexpression of human angiotensin-converting enzyme type 2 attenuates neurogenic hypertension",2010,"Circulation …","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/circresaha.109.208645","https://scholar.google.com/scholar?cites=6073559206175428613&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-26","","","","",,,,,150,16.67,25,6,9
116,"AM Beyer, GL Baumbach, CM Halabi, ML Modrick…","Interference with PPARγ signaling causes cerebral vascular dysfunction, hypertrophy, and remodeling",2008,"…","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/HYPERTENSIONAHA.107.103648","https://scholar.google.com/scholar?cites=11066317088510990956&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-26","","","","",,,,,116,10.55,23,5,11
81,"AM Beyer, WJ de Lange, CM Halabi…","Endothelium-specific interference with peroxisome proliferator activated receptor gamma causes cerebral vascular dysfunction in response to a high-fat diet",2008,"Circulation …","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/CIRCRESAHA.108.176339","https://scholar.google.com/scholar?cites=1065088099551505491&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-26","","","","",,,,,81,7.36,20,4,11
54,"WJ de Lange, CM Halabi, AM Beyer…","Germ line activation of the Tie2 and SMMHC promoters causes noncell-specific deletion of floxed alleles",2008,"Physiological …","physiology.org","https://www.physiology.org/doi/abs/10.1152/physiolgenomics.90284.2008","https://scholar.google.com/scholar?cites=240379511559134816&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-26","","","","",,,,,54,4.91,14,4,11
42,"VS Lee, CM Halabi, EP Hoffman…","Loss of function mutation in LOX causes thoracic aortic aneurysm and dissection in humans",2016,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/113/31/8759.short","https://scholar.google.com/scholar?cites=9854825983258598704&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-26","","","","",,,,,42,14.00,11,4,3
29,"HL Keen, CM Halabi, AM Beyer…","Bioinformatic Analysis of Gene Sets Regulated by Ligand-Activated and Dominant-Negative Peroxisome Proliferator–Activated Receptor γ in Mouse Aorta",2010,"… , and vascular biology","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/atvbaha.109.200733","https://scholar.google.com/scholar?cites=17634658588701535589&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-26","","","","",,,,,29,3.22,7,4,9
21,"CM Halabi, CD Sigmund","Peroxisome Proliferator-Activated Receptor-β and its Agonists in Hypertension and Atherosclerosis",2005,"American journal of cardiovascular drugs","Springer","https://link.springer.com/article/10.2165/00129784-200505060-00006","https://scholar.google.com/scholar?cites=12193894585173918097&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-26","HTML","","","",,,,,21,1.50,11,2,14
20,"O Igoucheva, V Alexeev, CM Halabi, SM Adams…","Fibulin-4 E57K knock-in mice recapitulate cutaneous, vascular and skeletal defects of recessive cutis laxa 1B with both elastic fiber and collagen fibril abnormalities",2015,"Journal of Biological …","ASBMB","http://www.jbc.org/content/290/35/21443.short","https://scholar.google.com/scholar?cites=14670582000275413146&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-26","","","","",,,,,20,5.00,4,5,4
10,"CM Halabi, TJ Broekelmann, M Lin…","Fibulin-4 is essential for maintaining arterial wall integrity in conduit but not muscular arteries",2017,"Science …","advances.sciencemag.org","http://advances.sciencemag.org/content/3/5/e1602532.abstract","https://scholar.google.com/scholar?cites=10673465319270969069&as_sdt=800005&sciodt=0,15&hl=en",10,"2019-06-26","","","","",,,,,10,5.00,3,4,2
10,"CM Halabi, TJ Broekelmann, RH Knutsen…","Chronic antihypertensive treatment improves pulse pressure but not large artery mechanics in a mouse model of congenital vascular stiffness",2015,"American Journal of …","physiology.org","https://www.physiology.org/doi/abs/10.1152/ajpheart.00288.2015","https://scholar.google.com/scholar?cites=17915147603230809665&as_sdt=800005&sciodt=0,15&hl=en",11,"2019-06-26","","","","",,,,,10,2.50,3,4,4
4,"AM Beyer, WJ de Lange, CM Halabi…","Endothelium-specific interference with PPARγ causes cerebral vascular dysfunction in response to a high fat diet",2008,"Circulation …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2583077/","https://scholar.google.com/scholar?cites=13126476063917187515&as_sdt=800005&sciodt=0,15&hl=en",12,"2019-06-26","HTML","","","",,,,,4,0.36,1,4,11
6,"AJ Shepherd, AD Mickle, JP Golden…","Macrophage angiotensin II type 2 receptor triggers neuropathic pain",2018,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/115/34/E8057.short","https://scholar.google.com/scholar?cites=3491076910204072924&as_sdt=800005&sciodt=0,15&hl=en",13,"2019-06-26","","","","",,,,,6,6.00,2,4,1
2,"CM Halabi, RP Mecham","Elastin purification and solubilization",2018,"Methods in cell biology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0091679X17301334","https://scholar.google.com/scholar?cites=10564660471336467731&as_sdt=800005&sciodt=0,15&hl=en",14,"2019-06-26","HTML","","","",,,,,2,2.00,1,2,1
5,"Y Huang, C McClenaghan, TM Harter, K Hinman…","Cardiovascular consequences of KATP overactivity in Cantu syndrome",2018,"JCI insight","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6129117/","https://scholar.google.com/scholar?cites=17265659188067095071&as_sdt=800005&sciodt=0,15&hl=en",15,"2019-06-26","HTML","","","",,,,,5,5.00,1,5,1
