Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
366,"C Christoffersen, H Obinata…","Endothelium-protective sphingosine-1-phosphate provided by HDL-associated apolipoprotein M",2011,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/108/23/9613.short","https://scholar.google.com/scholar?cites=16242877207983910653&as_sdt=800005&sciodt=0,15&hl=en",1,"2019-06-27","","","","",,,,,366,45.75,122,3,8
167,"B Jung, H Obinata, S Galvani, K Mendelson, B Ding…","Flow-regulated endothelial S1P receptor-1 signaling sustains vascular development",2012,"Developmental cell","Elsevier","https://www.sciencedirect.com/science/article/pii/S1534580712003346","https://scholar.google.com/scholar?cites=12739079838694017170&as_sdt=800005&sciodt=0,15&hl=en",2,"2019-06-27","HTML","","","",,,,,167,23.86,28,6,7
117,"S Galvani, M Sanson, VA Blaho, SL Swendeman…","HDL-bound sphingosine 1-phosphate acts as a biased agonist for the endothelial cell receptor S1P1 to limit vascular inflammation",2015,"Sci …","stke.sciencemag.org","http://stke.sciencemag.org/content/8/389/ra79.abstract","https://scholar.google.com/scholar?cites=12459167962165558640&as_sdt=800005&sciodt=0,15&hl=en",3,"2019-06-27","","","","",,,,,117,29.25,23,5,4
92,"VA Blaho, S Galvani, E Engelbrecht, C Liu…","HDL-bound sphingosine-1-phosphate restrains lymphopoiesis and neuroinflammation",2015,"Nature","nature.com","https://www.nature.com/articles/nature14462","https://scholar.google.com/scholar?cites=8323637373813456221&as_sdt=800005&sciodt=0,15&hl=en",4,"2019-06-27","","","","",,,,,92,23.00,18,5,4
80,"S Galvani, C Coatrieux, M Elbaz, MH Grazide…","Carbonyl scavenger and antiatherogenic effects of hydrazine derivatives",2008,"Free radical biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0891584908004954","https://scholar.google.com/scholar?cites=13880678115777504422&as_sdt=800005&sciodt=0,15&hl=en",5,"2019-06-27","HTML","","","",,,,,80,7.27,16,5,11
60,"S Poglio, S Galvani, S Bour, M André…","Adipose tissue sensitivity to radiation exposure",2009,"The American journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0002944010612631","https://scholar.google.com/scholar?cites=11266859940753058318&as_sdt=800005&sciodt=0,15&hl=en",6,"2019-06-27","HTML","","","",,,,,60,6.00,12,5,10
42,"K Yanagida, CH Liu, G Faraco…","Size-selective opening of the blood–brain barrier by targeting endothelial sphingosine 1–phosphate receptor 1",2017,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/114/17/4531.short","https://scholar.google.com/scholar?cites=8510118790039567456&as_sdt=800005&sciodt=0,15&hl=en",7,"2019-06-27","","","","",,,,,42,21.00,11,4,2
35,"C Dray, Y Sakar, C Vinel, D Daviaud, B Masri…","The intestinal glucose–apelin cycle controls carbohydrate absorption in mice",2013,"Gastroenterology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016508513000085","https://scholar.google.com/scholar?cites=6369403319520504511&as_sdt=800005&sciodt=0,15&hl=en",8,"2019-06-27","","","","",,,,,35,5.83,6,6,6
33,"S Galvani, M Trayssac, N Augé, JC Thiers, D Calise…","A key role for matrix metalloproteinases and neutral sphingomyelinase-2 in transplant vasculopathy triggered by anti-HLA antibody",2011,"Circulation","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/circulationaha.111.021790","https://scholar.google.com/scholar?cites=18211806381476354709&as_sdt=800005&sciodt=0,15&hl=en",9,"2019-06-27","","","","",,,,,33,4.13,6,6,8
32,"A Cantalupo, Y Zhang, M Kothiya, S Galvani…","Nogo-B regulates endothelial sphingolipid homeostasis to control vascular function and blood pressure",2015,"Nature medicine","nature.com","https://www.nature.com/nm/journal/v21/n9/abs/nm.3934.html","https://scholar.google.com/scholar?cites=7200121097518254058&as_sdt=800005&sciodt=0,15&hl=en",10,"2019-06-27","","","","",,,,,32,8.00,6,5,4
