Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
1053,"R Lister, EA Mukamel, JR Nery, M Urich, CA Puddifoot, ND Johnson, ...","Global epigenomic reconfiguration during mammalian brain development",2013,"Science","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4014894306425691425",1,"2019-06-18","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-gEuUZIAAAAJ&pagesize=100&citation_for_view=-gEuUZIAAAAJ:IRz6iEL74y4C",341,6146,1237905,1237905,1053,175.50,150,7,6
748,"F Jia, KD Wilson, N Sun, DM Gupta, M Huang, Z Li, NJ Panetta, ZY Chen, ...","A nonviral minicircle vector for deriving human iPS cells",2010,"Nature methods","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4494813974538414699",2,"2019-06-18","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-gEuUZIAAAAJ&pagesize=100&citation_for_view=-gEuUZIAAAAJ:u5HHmVD_uO8C",7,3,197,197,748,83.11,83,9,9
575,"PW Burridge, E Matsa, P Shukla, ZC Lin, JM Churko, AD Ebert, F Lan, ...","Chemically defined generation of human cardiomyocytes",2014,"Nature methods","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15382121729391395312",3,"2019-06-18","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-gEuUZIAAAAJ&pagesize=100&citation_for_view=-gEuUZIAAAAJ:bEWYMUwI8FkC",11,8,855,855,575,115.00,72,8,5
569,"F Cao, S Lin, X Xie, P Ray, M Patel, X Zhang, M Drukker, SJ Dylla, ...","In vivo visualization of embryonic stem cell survival, proliferation, and migration after cardiac delivery",2006,"Circulation","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11653696140659957022",4,"2019-06-18","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-gEuUZIAAAAJ&pagesize=100&citation_for_view=-gEuUZIAAAAJ:u-x6o8ySG0sC",113,7,1005,1005,569,43.77,63,9,13
551,"N Sun, NJ Panetta, DM Gupta, KD Wilson, A Lee, F Jia, S Hu, AM Cherry, ...","Feeder-free derivation of induced pluripotent stem cells from adult human adipose stem cells",2009,"Proceedings of the National Academy of Sciences","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15513526346277708998",5,"2019-06-18","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-gEuUZIAAAAJ&pagesize=100&citation_for_view=-gEuUZIAAAAJ:d1gkVwhDpl0C",106,37,15720,15725,551,55.10,61,9,10
469,"PW Burridge, G Keller, JD Gold, JC Wu","Production of de novo cardiomyocytes: human pluripotent stem cell differentiation and direct reprogramming",2012,"Cell stem cell","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17504407481617509459",6,"2019-06-18","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-gEuUZIAAAAJ&pagesize=100&citation_for_view=-gEuUZIAAAAJ:UeHWp8X0CEIC",10,1,16,28,469,67.00,117,4,7
460,"N Sun, M Yazawa, J Liu, L Han, V Sanchez-Freire, OJ Abilez, ...","Patient-specific induced pluripotent stem cells as a model for familial dilated cardiomyopathy",2012,"Science translational medicine 4 (130), 130ra47-130ra","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9434459937048832019",7,"2019-06-18","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-gEuUZIAAAAJ&pagesize=100&citation_for_view=-gEuUZIAAAAJ:Tyk-4Ss8FVUC",47,,,,460,65.71,66,7,7
392,"F Lan, AS Lee, P Liang, V Sanchez-Freire, PK Nguyen, L Wang, L Han, ...","Abnormal calcium handling properties underlie familial hypertrophic cardiomyopathy pathology in patient-specific induced pluripotent stem cells",2013,"Cell stem cell","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16005025055006278115",8,"2019-06-18","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-gEuUZIAAAAJ&pagesize=100&citation_for_view=-gEuUZIAAAAJ:Zph67rFs4hoC",12,1,101,113,392,65.33,49,8,6
382,"P Liang, F Lan, AS Lee, T Gong, V Sanchez-Freire, Y Wang, S Diecke, ...","Drug screening using a library of human induced pluripotent stem cell–derived cardiomyocytes reveals disease-specific patterns of cardiotoxicity",2013,"Circulation","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9975288080157090668,15362852233243438874",9,"2019-06-18","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-gEuUZIAAAAJ&pagesize=100&citation_for_view=-gEuUZIAAAAJ:M3ejUd6NZC8C",127,16,1677,1691,382,63.67,48,8,6
357,"S Hu, M Huang, Z Li, F Jia, Z Ghosh, MA Lijkwan, P Fasanaro, N Sun, ...","MicroRNA-210 as a novel therapy for treatment of ischemic heart disease",2010,"Circulation 122 (11_suppl_1), S124-S","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16538299954650173444",10,"2019-06-18","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-gEuUZIAAAAJ&pagesize=100&citation_for_view=-gEuUZIAAAAJ:IjCSPb-OGe4C",131,,,,357,39.67,40,9,9
