Cites,Authors,Year
472,"J Gaboury|RC Woodman|DN Granger",1993
156,"M Shi|SS Li|C Zheng|GJ Jones",2010
595,"M Phillipson|B Heit|P Colarusso|L Liu",2006
110,"L Liu|P Kubes",2003
305,"P Kubes|G Ibbotson|J Russell|JL Wallace",1990
219,"A Fox-Robichaud|D Payne|SU Hasan",1998
354,"J Wong|B Johnston|SS Lee",1997
284,"P Kubes|M Jutila|D Payne",1995
173,"D Dal-Secco|J Wang|Z Zeng",2015
78,"SM Kerfoot|C D'Mello|H Nguyen|MN Ajuebor",2006
153,"TJ Moriarty|MU Norman|P Colarusso",2008
124,"H Arndt|JB Russell|I Kurose|P Kubes|DN Granger",1993
191,"SM Kerfoot|P Kubes",2002
77,"MJ Sanz|P Kubes",2012
128,"HF Langer|EY Choi|H Zhou|R Schleicher",2012
168,"AI Khan|SM Kerfoot|B Heit|L Liu",2004
234,"CN Jenne|CHY Wong|FJ Zemp|B McDonald",2013
120,"R Udomsangpetch|PH Reinhardt",1997
2215,"E Kolaczkowska|P Kubes",2013
279,"H Asako|P Kubes|J Wallace|T Gaginella",1992
375,"I Kurose|P Kubes|R Wolf|DC Anderson",1993
103,"MU Norman|TJ Moriarty|AR Dresser|B Millen",2008
58,"B Mickiewicz|GE Duggan|BW Winston",2014
1373,"SR Clark|AC Ma|SA Tavener|B McDonald",2007
574,"FH Pilsczek|D Salina|KKH Poon",2010
174,"E Kolaczkowska|CN Jenne|BGJ Surewaard",2015
80,"SC Mullaly|P Kubes",2006
183,"CHY Wong|CN Jenne|B Petri|NL Chrobok",2013
46,"SC Mullaly|P Kubes",2007
74,"CN Jenne|CHY Wong|B Petri|P Kubes",2011
61,"TJ Moriarty|M Shi|YP Lin|R Ebady",2012
239,"B McDonald|EF McAvoy|F Lam|V Gill",2008
86,"BY Poon|E Raharjo|KD Patel|S Tavener|P Kubes",2003
110,"M Phillipson|B Heit|SA Parsons|B Petri",2009
65,"JM Hwang|J Yamanouchi|P Santamaria",2004
120,"M Ho|MJ Hickey|AG Murray|G Andonegui",2000
88,"B Johnston|UM Walter|AC Issekutz",1997
33,"CN Jenne|P Kubes",2015
427,"G Andonegui|CS Bonder|F Green",2003
30,"MR Gillrie|L Zbytnuik|E McAvoy",2010
39,"Y Li|DA Muruve|RG Collins|SS Lee",2002
63,"V Gill|C Doig|D Knight|E Love|P Kubes",2005
514,"BG Yipp|B Petri|D Salina|CN Jenne|BNV Scott",2012
47,"P Kubes|D Payne|RC Woodman",2002
746,"P Kubes|DN Granger",1992
130,"JP Gaboury|XF Niu|P Kubes",1996
141,"DP Stirling|S Liu|P Kubes|VW Yong",2009
46,"BG Yipp|DI Baruch|C Brady|AG Murray",2003
39,"B Mickiewicz|P Tam|CN Jenne|C Leger",2015
32,"DJ Roberts|CN Jenne|C Léger|AH Kramer",2013
124,"H Zhou|G Andonegui|CHY Wong",2009
269,"CHY Wong|CN Jenne|WY Lee|C Léger",2011
33,"BG Yipp|MJ Hickey|G Andonegui|AG Murray",2007
94,"S Serirom|WH Raharjo|K Chotivanich",2003
76,"GB Menezes|WY Lee|H Zhou",2009
393,"P Kubes|S Kanwar|XF Niu|JP Gaboury",1993
96,"L Liu|DC Cara|J Kaur|E Raharjo",2005
203,"B Johnston|AR Burns|M Suematsu",1999
394,"J Cools-Lartigue|J Spicer|B McDonald",2013
134,"MJ Hickey|M Forster|D Mitchell|J Kaur",2000
388,"B McDonald|R Urrutia|BG Yipp|CN Jenne|P Kubes",2012
97,"A Fox‐Robichaud|P Kubes",2000
40,"J Kaur|RC Woodman|L Ostrovsky",2001
250,"SS Ousman|P Kubes",2012
974,"DN Granger|P Kubes",1994
31,P Kubes,1997
37,"P Kubes|B Heit|G van Marle",2003
36,"MG Swain|K Tjandra|S Kanwar|P Kubes",1995
21,"D Kumar|LC Ristow|M Shi|P Mukherjee",2015
115,P Kubes,2002
47,"B McDonald|CN Jenne|L Zhuo|K Kimata",2013
232,"J Carvalho-Tavares|MJ Hickey|J Hutchison",2000
27,"J Carvalho-Tavares|A Fox-Robichaud",1999
44,"BGJ Surewaard|JF Deniset|FJ Zemp",2016
96,"CF Zheng|LL Ma|GJ Jones|MJ Gill|AM Krensky",2007
397,"XF Niu|CW Smith|P Kubes",1994
19,"BNV Scott|DJ Roberts",2013
444,"G Andonegui|SM Kerfoot|K McNagny|KVJ Ebbert",2005
122,"MJ Hickey|S Kanwar|DM McCafferty",1999
85,"CHY Wong|B Heit|P Kubes",2010
50,"DJ Mitchell|P Li|PH Reinhardt|P Kubes",2000
511,"M Phillipson|P Kubes",2011
32,"DJ Roberts|CN Jenne|CG Ball|C Tiruta",2013
61,"B McDonald|P Kubes",2011
134,"G Andonegui|H Zhou|D Bullard",2009
418,"BG Yipp|P Kubes",2013
259,P Kubes,1993
224,"P Kubes|I Kurose|DN Granger",1994
20,"L Ostrovsky|J Carvalho-Tavares",2000
137,"LR Huang|D Wohlleber|F Reisinger|CN Jenne",2013
223,"WY Lee|TJ Moriarty|CHY Wong|H Zhou",2010
216,"SM Kerfoot|EM Long|MJ Hickey",2004
120,"M Phillipson|J Kaur|P Colarusso|CM Ballantyne",2008
130,"N Gül|L Babes|K Siegmund",2014
180,"L Piqueras|P Kubes|A Alvarez|E O'Connor",2000
370,"CN Jenne|P Kubes",2013
276,"DM McCafferty|JS Mudgett|MG Swain",1997
43,"KL Lloyd-Jones|MM Kelly|P Kubes",2008
41,"B Johnston|AR Burns|P Kubes",1998
274,P Kubes,1992
142,"SA Tavener|EM Long|SM Robbins",2004
155,"GC Ibbotson|C Doig|J Kaur|V Gill|L Ostrovsky",2001
33,"AI KHAN|B Heit|G Andonegui|P Colarusso",2005
232,"B Petri|M Phillipson|P Kubes",2008
185,"P Kubes|XF Niu|CW Smith|ME Kehrli Jr",1995
283,"P Kubes|S Kanwar",1994
145,"SA Zamora|HJ Amin|DD McMillan|P Kubes",1997
308,"MJ Hickey|KA Sharkey|EG Sihota|PH Reinhardt",1997
13,"WY Lee|M Salmi|MM Kelly|S Jalkanen|P Kubes",2013
201,"L Ostrovsky|RC Woodman|D Payne|D Teoh",1997
85,"H Ding|P Kubes|C Triggle",2000
145,"B Johnston|TB Issekutz|P Kubes",1996
176,"CS Bonder|MN Ajuebor|LD Zbytnuik",2004
31,"B Heit|G Jones|D Knight|JM Antony",2006
134,"CS Bonder|MU Norman|MG Swain|LD Zbytnuik",2005
135,"DC Cara|J Kaur|M Forster",2001
234,"B Heit|SM Robbins|CM Downey|Z Guan",2008
135,"JP Gaboury|DC Anderson|P Kubes",1994
184,"H Asako|P Kubes|J Wallace|RE Wolf|DN Granger",1992
78,"CS Bonder|SR Clark|MU Norman|P Johnson",2006
109,"JP Gaboury|P Kubes",1994
104,"S Devi|Y Wang|WK Chew|R Lima",2013
97,"ESM Ng|D Jourd'heuil|JM McCord",2004
101,"D Levy|P Kubes|DW Zochodne",2001
31,"SM Kerfoot|P Kubes",2005
139,"H Zhou|BM Lapointe|SR Clark",2006
212,"MJ Hickey|P Kubes",2009
10,"DM McCafferty|P Kubes|JL Wallace",1993
99,"MJ Hickey|AC Issekutz|PH Reinhardt",1998
94,"P Kubes|SM Kerfoot",2001
248,"S Kanwar|JL Wallace|D Befus",1994
194,"SK Jorch|P Kubes",2017
9,"DJ Niven|C Léger|P Kubes",2012
57,"SM Kerfoot|SE Lord|RB Bell|V Gill",2003
131,P Kubes,1995
41,"MU Norman|J Hwang|S Hulliger|CS Bonder",2008
103,"L Liu|KD Puri|JM Penninger|P Kubes",2007
55,"MJ Hickey|E Sihota|A Amrani|P Santamaria",2002
76,"BG Yipp|G Andonegui|CJ Howlett",2002
150,"L Ostrovsky|AJ King|S Bond|D Mitchell|DE Lorant",1998
64,"S Kanwar|P Kubes",1994
140,"PH Reinhardt|JF Elliott|P Kubes",1997
107,"P Kubes|PA Ward",2000
53,"BM Lapointe|LM Herx|V Gill|LM Metz|P Kubes",2004
118,"S Kanwar|P Kubes",1994
31,"BG Yipp|P Kubes",2013
84,"B Petri|J Kaur|EM Long|H Li|SA Parsons|S Butz",2011
86,"K Pittman|P Kubes",2013
82,"SM Kerfoot|MU Norman|BM Lapointe",2006
44,"B Johnston|A Chee|TB Issekutz",2000
60,"P Kubes|D Payne|MB Grisham",1999
29,"DJ Niven|HT Stelfox|C Léger|P Kubes",2013
183,"JP Gaboury|B Johnston|XF Niu",1995
62,"S Kanwar|MJ Hickey|P Kubes",1998
112,"S Kanwar|B Johnston|P Kubes",1995
41,"DM McCafferty|CW Smith",1999
23,"EF McAvoy|B McDonald|SA Parsons",2011
116,"TA Chau|ML McCully|W Brintnell|G An|KJ Kasper",2009
50,"S Kanwar|CW Smith|P Kubes",1998
308,"I Alican|P Kubes",1996
56,"I Slaba|J Wang|E Kolaczkowska|B McDonald",2015
94,"B Johnston|S Kanwar|P Kubes",1996
78,"XF Niu|G Ibbotson|P Kubes",1996
49,"EM Long|B Millen|P Kubes|SM Robbins",2009
104,"PH Reinhardt|P Kubes",1998
76,"AW Kirkpatrick|DJ Roberts|PD Faris|CG Ball",2015
172,"P Kubes|J Hunter|DN Granger",1992
62,"MJ Sanz|B Johnston|A Issekutz",1999
58,"B McDonald|P Kubes",2012
46,"BA David|RM Rezende|MM Antunes|MM Santos",2016
94,P Kubes,1993
39,"DJ Roberts|CN Jenne|C Léger|AH Kramer",2013
26,"A Thanabalasuriar|AS Neupane|J Wang|MF Krummel",2016
40,"JF Deniset|BG Surewaard|WY Lee",2017
69,"P Kubes|JL Wallace",1995
125,"G Andonegui|SM Goyert|P Kubes",2002
83,"MJ Hickey|DN Granger|P Kubes",1999
48,"PH Reinhardt|CA Ward|WR Giles|P Kubes",1997
62,"DM McCafferty|E Sihota|M Muscara",2000
80,"CN Jenne|P Kubes",2015
16,"CCM Waterhouse|S Johnson|M Phillipson|L Zbytnuik",2010
82,"J Wang|M Hossain|A Thanabalasuriar",2017
147,"J Wang|P Kubes",2016
28,"CF Zheng|GJ Jones|M Shi",2008
57,"J Kaur|RC Woodman|P Kubes",2003
69,"JL Bennett|MR Blanchet|L Zhao",2009
37,"WM Nauseef|P Kubes",2016
81,"S Epelman|D Stack|C Bell|E Wong",2004
61,"MJ Sanz|MJ Hickey|B Johnston",2001
36,"A Fox-Robichaud|D Payne|P Kubes",1999
41,"B McDonald|P Kubes",2015
34,"SA Parsons|R Sharma|DL Roccamatisi",2012
48,"MJ Hickey|PH Reinhardt|L Ostrovsky",1997
29,"K Tjandra|P Kubes|K Rioux",1996
14,"J Wong|P Kubes|Y Zhang|Y Li",2002
17,"JL Wallace|CM Hogaboam",1992
40,"P Kubes|D Payne|L Ostrovsky",1998
28,"ESM Ng|P Kubes",2003
16,"EM Long|AC Klimowicz",2011
34,"B Johnston|JP Gaboury|M Suematsu",1999
53,"P Kubes|JP Gaboury",1996
24,"PX Liew|WY Lee|P Kubes",2017
28,"A Thanabalasuriar|BGJ Surewaard",2017
23,"MU Norman|L Zbytnuik|P Kubes",2008
5,"AH Kramer|C Jenne|JK Holodinsky|S Todd",2015
56,"P Kubes|PH Reinhardt|D Payne",1995
27,"MG Harding|K Zhang|J Conly|P Kubes",2014
33,"WY Lee|MJ Sanz|CHY Wong",2014
34,"RC Woodman|D Teoh|D Payne",2000
20,"MM Kelly|K McNagny|DL Williams",2008
39,"BG Yipp|JH Kim|R Lima|LD Zbytnuik|B Petri",2017
30,"P Kubes|R Smith|MD Grisham|DN Granger",1993
5,"L Babes|P Kubes",2016
40,"Z Zeng|BGJ Surewaard|CHY Wong|JA Geoghegan",2016
8,"CHY Wong|CN Jenne|PP Tam|C Léger",2017
29,"AI Khan|P Kubes",2003
14,"A Thanabalasuriar|P Kubes",2014
27,"DM McCafferty|S Kanwar|DN Granger",2000
29,"MU Norman|S Hulliger|P Colarusso",2008
47,"BY Poon|CA Ward|CB Cooper|WR Giles",2001
33,"P Kubes|E Sihota|MJ Hickey",1997
41,"S Kanwar|DA Steeber|TF Tedder",1999
22,"MU Norman|P Kubes",2005
15,"EF McAvoy|P Kubes",2006
18,"CHY Wong|P Kubes",2013
49,"SA Tavener|P Kubes",2006
16,"DC Cara|P Kubes",2004
30,"RCO Zanardo|CS Bonder|JM Hwang|G Andonegui",2004
25,"J Chen|A Ganguly|AD Mucsi|J Meng",2017
13,"M Kirschbaum|CN Jenne|ZJ Veldhuis",2017
10,"P Kubes|DN Granger",1992
23,"A Alvarez|L Piqueras|R Bello|A Canet",2001
6,P Kubes,1995
28,"CS Bonder|D Knight",2004
16,"A Bogoslowski|EC Butcher",2018
28,"RM Kratofil|P Kubes|JF Deniset",2017
38,"CS Bonder|MU Norman|T MacRae",2005
23,"GD Withers|P Kubes|G Ibbotson",1998
10,"AH Kramer|CN Jenne|DA Zygun",2015
15,"SC Mullaly|P Kubes",2004
19,"JF Deniset|P Kubes",2018
4,"JT Korhonen|V Dudeja|R Dawra|P Kubes",2015
13,"BG Yipp|B Petri|D Salina|CN Jenne|BNV Scott",2012
13,"V Vanheule|D Boff|A Mortier|R Janssens",2017
5,"M Tolonen|F Coccolini|L Ansaloni",2018
24,P Kubes,2018
8,"C Deppermann|P Kubes",2018
8,"HAP Neto|P Kubes",2011
34,"V Hoerr|L Zbytnuik|C Leger|PPC Tam",2012
14,"PX Liew|P Kubes",2015
17,"P Kubes|C Jenne",2018
10,"CS Bonder|P Kubes",2003
8,"K Siegmund|WY Lee|VS Tchang|M Stiess",2013
7,"S Li|US Pettersson|B Hoorelbeke|E Kolaczkowska",2014
10,"BGJ Surewaard|P Kubes",2017
14,"HL Matlung|L Babes|XW Zhao|M van Houdt",2018
10,"M Peiseler|P Kubes",2018
7,"CA Leonard|WY Lee|P Tailor|PT Salo|P Kubes",2015
13,"PH Reinhardt|PH Naccache|PE Poubelle",1996
15,"M Honda|P Kubes",2018
10,"G Andonegui|EL Zelinski|CL Schubert|D Knight",2018
2,"B Johnston|AR Burns|M Suematsu",2000
8,"N Gül|L Babes|P Kubes|M van Egmond",2014
7,"E Boldock|BGJ Surewaard|D Shamarina|M Na",2018
7,"AW Kirkpatrick|F Coccolini",2018
3,"C Guettler|P Kubes",2013
7,"BGJ Surewaard|A Thanabalasuriar|Z Zeng",2018
3,P Kubes,2016
2,"CN Jenne|P Kubes",2016
6,"Z Zeng|BGJ Surewaard|CHY Wong|C Guettler",2018
1,"RS Flannagan|DW Watson",2018
6,"Q Yuan|C Ren|W Xu|B Petri|J Zhang|Y Zhang",2017
2,"B McDonald|P Kubes",2012
3,"M Malehmir|D Pfister|S Gallage|M Szydlowska",2019
6,"A Lau|H Chung|T Komada|JM Platnich",2018
3,"FJ Zemp|CCM Waterhouse",2014
1,"P Kubes|G Andonegui|H Zhou",2007
1,"PX Liew|JH Kim|WY Lee|P Kubes",2017
2,P Kubes,1997
1,"MU Norman|P Kubes",2006
1,"AE Fox-Robichaud|P Kubes",1998
1,"BNV Scott|T Sarkar|RM Kratofil",2019
2,"PX Liew|P Kubes",2019
1,"G Andonegui|P Kubes",2001
1,"EM Long|SM Robbins|P Kubes",2016
3,"A Thanabalasuriar|BNV Scott|M Peiseler",2019
52,"Q Wang|L Elghazi|S Martin|I Martins",2008
37,"B Cha|X Geng|MR Mahamud|J Fu",2016
200,"RS Srinivasan|X Geng|Y Yang|Y Wang",2010
1,"X Geng|RS Srinivasan",2018
25,"X Geng|B Cha|MR Mahamud|KC Lim",2016
6,"X Geng|G Oliver",2010
26,"VY Yokoyama|CE Cáceres|LPS Kuenen|XG Wang",2010
4,"N Takata|D Abbey|L Fiore|S Acosta|R Feng|HJ Gil",2017
6,"X Geng|B Cha|MR Mahamud",2017
13,"X Geng|S Acosta|O Lagutin|HJ Gil|G Oliver",2016
2,"B Cha|X Geng|MR Mahamud|JY Zhang|L Chen",2018
135,"X Geng|C Speirs|O Lagutin|A Inbal|W Liu",2008
15,"FI Ataullakhanov|EM Koltsova|AN Balandina|II Serebriyskiy|TA Vuimo",2016
8,"E Koltsova|A Balandina|K Grischuk|M Tambovtseva|E Seregina",2016
7,"NA Manucharova|EM Kol’tsova|AL Stepanov|EV Demkina|VA Demkin",2014
6,"NA Manucharova|EV Trosheva|EM Kol’tsova|EV Demkina",2016
3,"ЕМ Кольцова|АН Баландина|ИА Демина|СА Радыгина",2016
2,"AY Prilepskii|AF Fakhardo|AS Drozdov|VV Vinogradov|IP Dudanov",2018
2,"E Lukacheva|T Chernov|E Bykova|A Vlasenko|N Manucharova",2013
1,"AV Poletaev|ЕM Koltsova|АA Ignatova|AD Kuprash|PG Gitelson",2018
1,"AN Balandina|II Serebriyskiy|AV Poletaev|DM Polokhov|MA Gracheva",2018
1,"E Balashova|E Koltsova|A Ignatova|D Polokhov|A Kuprash|A Kirtbaya",2016
1,"НА Манучарова|ЕВ ТРОШЕВА|ЕМ КОЛЬЦОВА|ЕВ ДЕМКИНА",2016
1,"ЕГ Лукачева|ТИ Чернов|ЕМ Быкова|АН Власенко|НА Манучарова",2013
1700,"JS Wadia|RV Stan|SF Dowdy",2004
434,"B Sinha|D Köster|R Ruez|P Gonnord|M Bastiani|D Abankwa|RV Stan",2011
429,"YY Zhao|Y Liu|RV Stan|L Fan|Y Gu|N Dalton|PH Chu|K Peterson",2002
323,"RD Minshall|WC Sessa|RV Stan|RGW Anderson|AB Malik",2003
308,"J Yu|S Bergaya|T Murata|IF Alp|MP Bauer|MI Lin|M Drab",2006
270,RV Stan,2005
247,"M Murakami|LT Nguyen|ZW Zhang|KL Moodie|P Carmeliet|RV Stan",2008
217,"RV Stan|WG Roberts|D Predescu|K Ihida|L Saucan|L Ghitescu",1997
199,"RV Stan|M Kubitza|GE Palade",1999
186,"SL Madden|BP Cook|M Nacht|WD Weber|MR Callahan|Y Jiang",2004
179,RV Stan,2002
